donor,independent_unit_id,pair_id,source_sample_id,target_sample_id,source_spots_available,target_spots_available,source_spots_used,target_spots_used,source_label_count,target_label_count,shared_label_count,label_semantics,forward_path,forward_sha256,reverse_path,reverse_sha256
Br2720,spatialDLPFC::Br2720,SDLPFC_Br2720_ANT_MID,Br2720_ant,Br2720_mid,3046,1796,1500,1500,7,7,7,auxiliary seven-domain pseudo-label; not manual ground truth,data/processed/p1_v2_expanded_pairs\SDLPFC_Br2720_ANT_MID.npz,9f67d879c43fd54e7a63e50392f0b78e22a7c6d85c058ef9c63e09877260eb70,data/processed/p1_v2_expanded_pairs\SDLPFC_Br2720_ANT_MID__reverse.npz,2846f38f55b44d685037f91c9d8c6a61aa5c6480f0def9d4ac43f13d920184aa
Br2743,spatialDLPFC::Br2743,SDLPFC_Br2743_ANT_MID,Br2743_ant,Br2743_mid,4068,4072,1500,1500,7,7,7,auxiliary seven-domain pseudo-label; not manual ground truth,data/processed/p1_v2_expanded_pairs\SDLPFC_Br2743_ANT_MID.npz,8e77de4c176fd5e64e98fbdadb94057ace8393df090308720b9aa0ccf392d69f,data/processed/p1_v2_expanded_pairs\SDLPFC_Br2743_ANT_MID__reverse.npz,6b6306571d690306d6938fbb986ad512e63ee446ca33b4a99fba716f843c0209
Br3942,spatialDLPFC::Br3942,SDLPFC_Br3942_ANT_MID,Br3942_ant,Br3942_mid,3842,3371,1500,1500,7,7,7,auxiliary seven-domain pseudo-label; not manual ground truth,data/processed/p1_v2_expanded_pairs\SDLPFC_Br3942_ANT_MID.npz,dc5723d5162acbcdc93772d16e12b8feb0deb2620f95fccdcf90343f1250fe53,data/processed/p1_v2_expanded_pairs\SDLPFC_Br3942_ANT_MID__reverse.npz,fc5e0681346c9e8e6f5595a29b3843ec0f446f932355409b8efcfdaabeef2884
Br6423,spatialDLPFC::Br6423,SDLPFC_Br6423_ANT_MID,Br6423_ant,Br6423_mid,3788,3872,1500,1500,7,7,7,auxiliary seven-domain pseudo-label; not manual ground truth,data/processed/p1_v2_expanded_pairs\SDLPFC_Br6423_ANT_MID.npz,e65877ea45280251124dec96126e4da1a7afe7facf211d49c0db167dcd209a46,data/processed/p1_v2_expanded_pairs\SDLPFC_Br6423_ANT_MID__reverse.npz,26f5a7abca78dc1710c70300ca6f8e2fe992445ab705bef7873295b8432539e6
Br6432,spatialDLPFC::Br6432,SDLPFC_Br6432_ANT_MID,Br6432_ant,Br6432_mid,3905,3369,1500,1500,7,7,7,auxiliary seven-domain pseudo-label; not manual ground truth,data/processed/p1_v2_expanded_pairs\SDLPFC_Br6432_ANT_MID.npz,5c1ce45988d7deea6a7fc42e351681ae618fe8b59906e7832ab5d80b6255d25b,data/processed/p1_v2_expanded_pairs\SDLPFC_Br6432_ANT_MID__reverse.npz,6c62293d880cffd71cb196848f4865bb5ef3ca5b6df2dac34ff97a85e46b1439
Br6471,spatialDLPFC::Br6471,SDLPFC_Br6471_ANT_MID,Br6471_ant,Br6471_mid,3135,4476,1500,1500,7,7,7,auxiliary seven-domain pseudo-label; not manual ground truth,data/processed/p1_v2_expanded_pairs\SDLPFC_Br6471_ANT_MID.npz,b24a108da0dd12396d8bb10a4bc53606500d308a79735155f7ff1e2415cac51e,data/processed/p1_v2_expanded_pairs\SDLPFC_Br6471_ANT_MID__reverse.npz,c74c2854243e1b996de6e09b20dc1503936f29bf6d7af31fccc9f499688f0e34
Br6522,spatialDLPFC::Br6522,SDLPFC_Br6522_ANT_MID,Br6522_ant,Br6522_mid,4263,3724,1500,1500,7,7,7,auxiliary seven-domain pseudo-label; not manual ground truth,data/processed/p1_v2_expanded_pairs\SDLPFC_Br6522_ANT_MID.npz,cb58ce8d4b692989c93978cf1ef52607e42a93d24617cd59249d75bea47c154b,data/processed/p1_v2_expanded_pairs\SDLPFC_Br6522_ANT_MID__reverse.npz,1bb03b838e6e06db6b034e26b5281abd1f74f645ed897cbe8913d1cfa40a3511
Br8325,spatialDLPFC::Br8325,SDLPFC_Br8325_ANT_MID,Br8325_ant,Br8325_mid,3442,3840,1500,1500,7,7,7,auxiliary seven-domain pseudo-label; not manual ground truth,data/processed/p1_v2_expanded_pairs\SDLPFC_Br8325_ANT_MID.npz,8a7df61ac1f67f057b6f91a9ed8d755b6b7d9b2069ab245f6cfec535262d4e3b,data/processed/p1_v2_expanded_pairs\SDLPFC_Br8325_ANT_MID__reverse.npz,bf4920ba33a214fc8d3c68a7c766be3c50fdabc874fb4ed9a352fe648f76e5f8
Br8492,spatialDLPFC::Br8492,SDLPFC_Br8492_ANT_MID,Br8492_ant,Br8492_mid,4709,3869,1500,1500,7,7,7,auxiliary seven-domain pseudo-label; not manual ground truth,data/processed/p1_v2_expanded_pairs\SDLPFC_Br8492_ANT_MID.npz,77d7068be3f61cd04a4d73f9f24443745b3eb4d2ffae14d7fe8bd9111a0dc017,data/processed/p1_v2_expanded_pairs\SDLPFC_Br8492_ANT_MID__reverse.npz,27826dc35c95ec213bf49ffe2c4d5283f011c6540ed7501e87966c0ac70127a5
Br8667,spatialDLPFC::Br8667,SDLPFC_Br8667_ANT_MID,Br8667_ant,Br8667_mid,3621,3939,1500,1500,7,7,7,auxiliary seven-domain pseudo-label; not manual ground truth,data/processed/p1_v2_expanded_pairs\SDLPFC_Br8667_ANT_MID.npz,742f632adc95565f766678ee276f0c2550b10bc5cbb4d7cfe4484b06f5dd9895,data/processed/p1_v2_expanded_pairs\SDLPFC_Br8667_ANT_MID__reverse.npz,b2ac26e65e6d9079178abfae3f3771bbb468f34773715b77296721aa00efbc8f
