dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	arm	intervention	h_large	h_small	relative_l1_n_estimable	relative_l1_median	relative_l1_q90	relative_l1_mean	relative_l1_maximum
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_EXPR	0.02	0.01	1500	0.0005019178673168984	0.0006597936549861428	0.0005274599352549471	0.0011700123046294612
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_EXPR	0.01	0.005	1500	0.00025096103781135947	0.0003298954664635334	0.0002637456383806166	0.0005853056650477113
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_EXPR	0.005	0.0025	1500	0.0001254810038069896	0.00016494782141774145	0.000131876727843831	0.0002927277491497756
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_EXPR	0.0025	0.00125	1500	6.274061518754313e-05	8.247401049533471e-05	6.5939340400389e-05	0.0001463825787755228
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_EXPR	0.00125	0.000625	1500	3.13703407401199e-05	4.123702197552717e-05	3.296991403920897e-05	7.31959587585144e-05
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_SPATIAL	0.02	0.01	1500	0.006380242228678595	0.007421235048986419	0.006172596647459644	0.007990421674229264
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_SPATIAL	0.01	0.005	1500	0.003170749510156173	0.003684015571624919	0.003067820040148565	0.003963819775166319
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_SPATIAL	0.005	0.0025	1500	0.0015807687544628314	0.0018351201864133999	0.0015293246532656942	0.0019741355682299086
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_SPATIAL	0.0025	0.00125	1500	0.0007892720503385486	0.0009159306883192692	0.0007635202225659583	0.00098513032242892
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_SPATIAL	0.00125	0.000625	1500	0.00039435775097085334	0.000457524201486712	0.00038147511502249954	0.0004920817423199607
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_EXPR	0.02	0.01	1500	0.006234955169954424	0.0072165937492982	0.006063906999181742	0.008595352113115242
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_EXPR	0.01	0.005	1500	0.0031368393546469487	0.003635935766181416	0.003049900425389867	0.0043307531265820405
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_EXPR	0.005	0.0025	1500	0.0015730409886831062	0.0018249910872696702	0.0015294703952088173	0.0021737059316596103
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_EXPR	0.0025	0.00125	1500	0.0007877175083767226	0.0009142566256016613	0.0007658693303139807	0.001088941285710924
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_EXPR	0.00125	0.000625	1500	0.0003941582956115574	0.00045756951724368686	0.00038321871403430765	0.000544993468132899
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_SPATIAL	0.02	0.01	1500	0.006387305288896918	0.0074455953965688335	0.006209611465800748	0.008863798434912959
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_SPATIAL	0.01	0.005	1500	0.003174567546094567	0.0036925281971195243	0.003086325743101005	0.004397817810471896
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_SPATIAL	0.005	0.0025	1500	0.0015826353222830245	0.0018391371527176203	0.0015385763502424009	0.0021904532504579224
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_SPATIAL	0.0025	0.00125	1500	0.0007901160364723509	0.0009177933877576105	0.0007681457853429758	0.0010931266859233518
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_SPATIAL	0.00125	0.000625	1500	0.00039475792751265357	0.0004584537120912357	0.0003837878253724628	0.0005460398355603967
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_EXPR	0.02	0.01	1500	0.0007394575769852213	0.0009347170355287008	0.0007586253777447672	0.0012792337663961525
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_EXPR	0.01	0.005	1500	0.0003695848904193404	0.0004671671117268055	0.00037919399867489555	0.0006395246057411706
