method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90	independent_units	unit_pass_fraction	family_gate_pass
balanced_ot	0.25		N	I_EXPR	0.9998807092803154	0.9933333333333333	0.004092958758423368	0.006080741332673894	0.9999912593044498	0.010877024270567196	0.01437817435264771	21	1.0	True
balanced_ot	0.25		N	I_SPATIAL	0.9998836906149737	0.9966666666666666	0.004128874433886763	0.006143700614453899	0.9999911320730697	0.011165765388398193	0.014806925776658205	21	1.0	True
balanced_ot	0.25		R	I_EXPR	0.9999986719994098	1.0	0.0002589075595501219	0.0006544868417270964	0.9999995847811505	0.000547416417988028	0.001128415393720009	21	1.0	True
balanced_ot	0.25		R	I_SPATIAL	0.9998443999308446	0.9933333333333333	0.004242206902387387	0.006153364320409678	0.9999924361575505	0.011465952141672293	0.015013443176813985	21	1.0	True
row_softmax	0.25		N	I_EXPR	0.9999646948608554	0.9966666666666666	0.0035944682128046007	0.006281397233778317	0.9999864973206981	0.009287237020721366	0.01201717978301564	21	1.0	True
row_softmax	0.25		N	I_SPATIAL	0.9999646967363375	0.9966666666666666	0.003625114981692652	0.006336728008038027	0.9999863776986436	0.00963576863400658	0.0123096858761266	21	1.0	True
row_softmax	0.25		R	I_EXPR	0.9999954435535305	1.0	0.0007430432284947844	0.0018647621324915454	0.9999981594908883	0.0015994854218099068	0.0027960989791519647	21	1.0	True
row_softmax	0.25		R	I_SPATIAL	0.9999679928746636	0.9966666666666666	0.003960179795667305	0.005863087177150603	0.9999926778685556	0.010638433704912582	0.012864959285334496	21	1.0	True
uot	0.25	2.0	N	I_EXPR	0.9999093155152514	0.9966666666666666	0.0033566432678808866	0.0051286054301141505	0.9999931196002193	0.00894635728845489	0.012114428083762825	21	1.0	True
uot	0.25	2.0	N	I_SPATIAL	0.9999067235140995	0.9933333333333333	0.0033903332876684734	0.0051824806349239725	0.9999930280482907	0.00932260816615741	0.012556349636861794	21	1.0	True
uot	0.25	2.0	R	I_EXPR	0.9999985297771246	1.0	0.0006982452984701042	0.0009465703566926211	0.9999997437000369	0.0016185233762211616	0.002274926007945114	21	1.0	True
uot	0.25	2.0	R	I_SPATIAL	0.9998824746144332	0.9933333333333333	0.004443755563855815	0.006360952150958592	0.9999914790475433	0.01195263975667637	0.015441060696207983	21	1.0	True
