method,epsilon,tau,grid_role,arm,intervention,score,claim_status,gate_family,independent_units,median_spearman,median_top_decile_overlap,median_nmae,unit_gate_pass_fraction,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,witness,median_nex_aurc,median_relative_fixed_qc_gain,positive_unit_fraction,positive_technology_count,leave_one_unit_out_fixed_qc_low,negative_control_pass_fraction,leakage_control_pass_fraction,confound_direction_pass_fraction,sensitivity_external_gate,sensitivity_external_gate_with_controls,registered_gate_status,confirmatory
balanced_ot,0.1,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9037586007816005,0.6607142857142857,4.436097042728406,0.0,True,True,False,False,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.43591006040447133,0.5266666666666666,6.686300364695747,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.33247883910942644,0.06684981684981685,5.020621961340034,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.4228807408358849,0.037037037037037035,5.177668465780714,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9850140151199817,0.8947811447811448,0.3748798457889546,0.7142857142857143,True,True,True,True,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9850140151199817,0.8947811447811448,0.3748798457889546,0.7142857142857143,True,True,True,True,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.5104800579911368,0.014285714285714285,5.3135766333738665,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.5104800579911368,0.014285714285714285,5.3135766333738665,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.7377553216690319,0.5066666666666667,5.606511693819536,0.0,True,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.11823806855435895,0.22478991596638653,11.193576314515735,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.3346432758414559,0.32563025210084034,2.3275936873844763,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.4039930311080139,0.3407243163340724,2.3256583713934327,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.997436330514679,0.9533333333333334,0.17080789615863345,1.0,True,True,True,True,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.997436330514679,0.9533333333333334,0.17080789615863345,1.0,True,True,True,True,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.3852393374397056,0.3407243163340724,2.385349563084306,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.3852393374397056,0.3407243163340724,2.385349563084306,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.5,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9506117273829899,0.7601626016260162,3.061377169262776,0.0,True,True,False,False,,,,,,,,,,,,,
balanced_ot,0.5,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.0519504248668555,0.13407661520869069,9.17254506282541,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.5,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9512833721259432,0.6666666666666667,1.0068496909182147,0.0,True,True,False,False,,,,,,,,,,,,,
balanced_ot,0.5,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9518718197957432,0.6733333333333333,1.0075849200559708,0.0,True,True,False,False,,,,,,,,,,,,,
balanced_ot,0.5,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9994826006589337,0.98,0.07260002983516653,1.0,True,True,True,True,,,,,,,,,,,,,
balanced_ot,0.5,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9994826006589337,0.98,0.07260002983516653,1.0,True,True,True,True,,,,,,,,,,,,,
balanced_ot,0.5,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9509398093065821,0.6866666666666668,1.032241307379904,0.0,True,True,False,False,,,,,,,,,,,,,
balanced_ot,0.5,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9509398093065821,0.6866666666666668,1.032241307379904,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.8826690874084834,0.6025641025641025,1.3925001613683674,0.047619047619047616,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.7505401966845319,0.5336134453781513,3.0318541002561448,0.0,True,False,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.224568140819496,0.31333333333333335,4.54700169250958,0.0,False,False,False,False,,,,,,,,,,,,,
