dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,intervention,max_absolute_plan_difference,mean_absolute_plan_difference,normalized_l1_plan_difference,equivalence_tolerance,equivalence_pass,row_response_spearman,row_response_nmae,transported_mass_difference,objective_n,objective_s,objective_ratio_s_over_n,gate_n,gate_s_reference,gate_conclusion_consistent,claim_status,cohort
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.406255203390912,-1.703127601695456,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.9165715619046035,-1.4582857809523018,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.938373911994875,-2.4691869559974373,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.9691174593401497,-1.9845587296700749,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,row_softmax,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,row_softmax,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,reverse,SDLPFC_Br2720_ANT_MID__reverse,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.406255203390912,-1.703127601695456,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,reverse,SDLPFC_Br2720_ANT_MID__reverse,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.916571561904604,-1.458285780952302,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,reverse,SDLPFC_Br2720_ANT_MID__reverse,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.938373911994873,-2.4691869559974364,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,reverse,SDLPFC_Br2720_ANT_MID__reverse,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.969117459340148,-1.9845587296700735,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,reverse,SDLPFC_Br2720_ANT_MID__reverse,spatialDLPFC::Br2720,row_softmax,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,reverse,SDLPFC_Br2720_ANT_MID__reverse,spatialDLPFC::Br2720,row_softmax,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,forward,SDLPFC_Br2743_ANT_MID,spatialDLPFC::Br2743,balanced_ot,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.410013522537424,-1.705006761268712,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,forward,SDLPFC_Br2743_ANT_MID,spatialDLPFC::Br2743,balanced_ot,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.817485576515881,-1.4087427882579404,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,forward,SDLPFC_Br2743_ANT_MID,spatialDLPFC::Br2743,uot,0.25,2.0,baseline,1,SDLPFC_Br2743_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.94529873705828,-2.47264936852914,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,forward,SDLPFC_Br2743_ANT_MID,spatialDLPFC::Br2743,uot,0.25,2.0,baseline,1,SDLPFC_Br2743_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.865900559826264,-1.932950279913132,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,forward,SDLPFC_Br2743_ANT_MID,spatialDLPFC::Br2743,row_softmax,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,forward,SDLPFC_Br2743_ANT_MID,spatialDLPFC::Br2743,row_softmax,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,reverse,SDLPFC_Br2743_ANT_MID__reverse,spatialDLPFC::Br2743,balanced_ot,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4100135225374206,-1.7050067612687103,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,reverse,SDLPFC_Br2743_ANT_MID__reverse,spatialDLPFC::Br2743,balanced_ot,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.817485576515883,-1.4087427882579415,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,reverse,SDLPFC_Br2743_ANT_MID__reverse,spatialDLPFC::Br2743,uot,0.25,2.0,baseline,1,SDLPFC_Br2743_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.945298737058287,-2.4726493685291437,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,reverse,SDLPFC_Br2743_ANT_MID__reverse,spatialDLPFC::Br2743,uot,0.25,2.0,baseline,1,SDLPFC_Br2743_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.865900559826271,-1.9329502799131355,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,reverse,SDLPFC_Br2743_ANT_MID__reverse,spatialDLPFC::Br2743,row_softmax,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,reverse,SDLPFC_Br2743_ANT_MID__reverse,spatialDLPFC::Br2743,row_softmax,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,forward,SDLPFC_Br3942_ANT_MID,spatialDLPFC::Br3942,balanced_ot,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.403357535616037,-1.7016787678080187,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,forward,SDLPFC_Br3942_ANT_MID,spatialDLPFC::Br3942,balanced_ot,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.83424176401969,-1.417120882009845,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,forward,SDLPFC_Br3942_ANT_MID,spatialDLPFC::Br3942,uot,0.25,2.0,baseline,1,SDLPFC_Br3942_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.932404480828631,-2.466202240414316,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,forward,SDLPFC_Br3942_ANT_MID,spatialDLPFC::Br3942,uot,0.25,2.0,baseline,1,SDLPFC_Br3942_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.86445863056853,-1.932229315284265,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,forward,SDLPFC_Br3942_ANT_MID,spatialDLPFC::Br3942,row_softmax,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,forward,SDLPFC_Br3942_ANT_MID,spatialDLPFC::Br3942,row_softmax,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,balanced_ot,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.40335753561604,-1.70167876780802,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,balanced_ot,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.8342417640196853,-1.4171208820098429,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,uot,0.25,2.0,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.932404480828634,-2.466202240414317,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,uot,0.25,2.0,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.864458630568527,-1.9322293152842636,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,row_softmax,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,row_softmax,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,balanced_ot,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.413098751453908,-1.706549375726954,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,balanced_ot,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.7003569220391626,-1.3501784610195813,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,uot,0.25,2.0,baseline,1,SDLPFC_Br6423_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.951885877168473,-2.4759429385842364,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,uot,0.25,2.0,baseline,1,SDLPFC_Br6423_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.6994114143735777,-1.8497057071867888,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,row_softmax,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,row_softmax,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,reverse,SDLPFC_Br6423_ANT_MID__reverse,spatialDLPFC::Br6423,balanced_ot,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.413098751453911,-1.7065493757269554,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,reverse,SDLPFC_Br6423_ANT_MID__reverse,spatialDLPFC::Br6423,balanced_ot,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.7003569220391626,-1.3501784610195813,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,reverse,SDLPFC_Br6423_ANT_MID__reverse,spatialDLPFC::Br6423,uot,0.25,2.0,baseline,1,SDLPFC_Br6423_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.951885877168479,-2.4759429385842395,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
