independent_unit_id	pair_id	direction	method	fold	repeat	strategy	coverage	n_train_available	n_train_selected	n_test	training_positive_precision	macro_f1	balanced_accuracy	accuracy
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	0	max_probability_gate	0.8	173	139	100	0.8057553956834532	0.2844155844155844	0.5054347826086957	0.51
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	0	top2_margin_gate	0.8	173	139	100	0.8992805755395683	0.32619877219180354	0.6059782608695652	0.59
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	0	random_gate	0.8	173	139	100	0.7913669064748201	0.31038520079615967	0.5380434782608696	0.57
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	0	oracle_truth	0.8	173	139	100	1.0	0.3515279985868221	0.6385869565217391	0.65
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	1	max_probability_gate	0.8	173	139	100	0.8057553956834532	0.27235772357723576	0.3641304347826087	0.67
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	1	top2_margin_gate	0.8	173	139	100	0.8992805755395683	0.2884990253411306	0.40217391304347827	0.74
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	1	random_gate	0.8	173	139	100	0.8345323741007195	0.2990243902439024	0.4266304347826087	0.68
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	1	oracle_truth	0.8	173	139	100	1.0	0.32174043962661847	0.4891304347826087	0.69
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	2	max_probability_gate	0.8	173	139	100	0.8057553956834532	0.32964927792514	0.5190217391304348	0.64
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	2	top2_margin_gate	0.8	173	139	100	0.8992805755395683	0.33509700176366836	0.483695652173913	0.68
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	2	random_gate	0.8	173	139	100	0.8273381294964028	0.29148969639767186	0.4157608695652174	0.66
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0	2	oracle_truth	0.8	173	139	100	1.0	0.283974358974359	0.39945652173913043	0.63
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	1	0	max_probability_gate	0.8	194	156	79	0.6282051282051282	0.30274170274170276	0.31201814058956917	0.379746835443038
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	1	0	top2_margin_gate	0.8	194	156	79	0.7692307692307693	0.3724230254350736	0.3836734693877551	0.45569620253164556
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	1	0	random_gate	0.8	194	156	79	0.6858974358974359	0.3603512850316415	0.35963718820861673	0.46835443037974683
