pair_path	pair_sha256	patient	direction	n_source	n_target	n_valid
data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED.npz	90f32ba4f6841fb386a0d98f9e4ada6344965658e2de3929aaf78db5b90c088a	HER2ST::A	forward	341	273	273
data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED__reverse.npz	d65c4d3e92550112e8bc27632929e8d49d58e022635be0fd6ce781b3d61e1027	HER2ST::A	reverse	273	341	273
data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED.npz	84c02c22c26ca42f10dd221a1b81c3b52b48439171e917c8d2026bdf06a70f23	HER2ST::B	forward	269	215	215
data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED__reverse.npz	ac560bd281489ac47ebb8707baa0a44960de49c497b022b05d32dc09376030df	HER2ST::B	reverse	215	269	215
data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED.npz	c00de831f9092f2c89050268365b8810e27351013b8fbf5f8335cf35fa4822bf	HER2ST::C	forward	167	134	134
data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED__reverse.npz	a3934d89adcd2ea794c57115d7842d15714039ebee50de185742ec92aecd9c25	HER2ST::C	reverse	134	167	134
data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED.npz	15f9fdb20731869413341f8185fecffb51c2306d1ecc76e7d4f3e08d4c743ab1	HER2ST::D	forward	255	204	204
data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED__reverse.npz	da9ea4c68c0f946e000a5828d83f2ae6a754e77317c5292d1feb1ec8b101e2d6	HER2ST::D	reverse	204	255	204
data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED.npz	08cad387da23ede03d82d436c7c4d444b9b09c0013a9e90741b4e726bbdb2833	HER2ST::E	forward	534	427	427
data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED__reverse.npz	d1a9c0ef1f2121f5365f38d31496432615f0c8e508d1f94f4a3aa429e7460df0	HER2ST::E	reverse	427	534	427
data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED.npz	835c372928242d094551e833badccdc704bd76c4ec9df275ba1e0d53d0f9c989	HER2ST::F	forward	659	527	527
data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED__reverse.npz	18973dc44861c9de40ec7bc1479ebead2a6a8f50fafb541ddcdeb2cf8e7b6cfb	HER2ST::F	reverse	527	659	527
data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED.npz	ef030af5c3df37ca6d76015e9779230ad156396b9c515a43302af04045f4b1ca	HER2ST::G	forward	402	322	322
data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED__reverse.npz	be22e41ab5453210009f6a541d435ed73abf55bf69dca80ebcf71363f2ac77a1	HER2ST::G	reverse	322	402	322
data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED.npz	8fb797f52f84a7d3bfab3a54c5623c131a7c138e75faba212959f8bcccddc1d5	HER2ST::H	forward	530	424	424
data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED__reverse.npz	80446a22afdf9794a191700babccbb3c78365d1d21356ab3a60b24fe08551e71	HER2ST::H	reverse	424	530	424
