dataset	pair_id	independent_unit_id	direction	fold	n_train_available	n_train_selected	n_test	n_components	coverage	strategy	repeat	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	oracle_truth	0	0.0392156862745098	0.0392156862745098	0.0784313725490196	0.058506141870460174	104.0	0.803921568627451	0.07443360324849256
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	permuted_truth_control	0	0.0	0.0	0.0	0.013683982796060217	124.0	0.7647058823529411	0.00035786741966285974
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	permuted_truth_control	1	0.0	0.0	0.0	0.0117026541873617	146.0	0.6666666666666666	-0.025215982846226243
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	permuted_truth_control	2	0.0	0.0	0.058823529411764705	0.020791353254130944	107.0	0.7254901960784313	0.04515292025257869
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	permuted_truth_control	3	0.0	0.0392156862745098	0.0392156862745098	0.023693122412829015	99.0	0.7843137254901961	0.09887960792124849
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	permuted_truth_control	4	0.0	0.0392156862745098	0.058823529411764705	0.03298534504224086	118.0	0.6470588235294118	0.03413681154888221
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	permuted_truth_control	5	0.0	0.0	0.0	0.011878310645966875	149.0	0.5882352941176471	-0.020742092361650394
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	permuted_truth_control	6	0.0	0.0196078431372549	0.058823529411764705	0.0196660139066881	163.0	0.7843137254901961	-0.030539555966482283
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	permuted_truth_control	7	0.0196078431372549	0.058823529411764705	0.0784313725490196	0.04650357488512467	91.0	0.7647058823529411	0.10918854718324454
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	permuted_truth_control	8	0.0	0.0196078431372549	0.058823529411764705	0.02699236225100732	142.0	0.7058823529411765	0.004089892483661563
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	0	222	178	51	16	0.8	permuted_truth_control	9	0.0196078431372549	0.058823529411764705	0.058823529411764705	0.0520371514397311	123.0	0.803921568627451	0.027428410270046666
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	1	211	169	62	16	0.8	oracle_truth	0	0.0	0.0	0.03225806451612903	0.021156396523706416	95.5	0.45161290322580644	0.08225591001703321
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	1	211	169	62	16	0.8	permuted_truth_control	0	0.0	0.016129032258064516	0.016129032258064516	0.02175612929919141	112.5	0.45161290322580644	0.05626886178941551
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	1	211	169	62	16	0.8	permuted_truth_control	1	0.016129032258064516	0.016129032258064516	0.06451612903225806	0.033426817030186094	131.0	0.43548387096774194	0.0134190853725828
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	1	211	169	62	16	0.8	permuted_truth_control	2	0.0	0.0	0.0	0.009947501394614571	146.0	0.532258064516129	-0.052384725983709496
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	1	211	169	62	16	0.8	permuted_truth_control	3	0.0	0.0	0.0	0.012285409345708199	138.5	0.46774193548387094	-0.03693406466383408
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	1	211	169	62	16	0.8	permuted_truth_control	4	0.0	0.03225806451612903	0.04838709677419355	0.022343898236447644	130.0	0.45161290322580644	0.0208321324846129
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	1	211	169	62	16	0.8	permuted_truth_control	5	0.0	0.03225806451612903	0.04838709677419355	0.017136853145793912	179.0	0.4838709677419355	-0.08728537984923924
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	1	211	169	62	16	0.8	permuted_truth_control	6	0.0	0.016129032258064516	0.03225806451612903	0.018379993798493297	133.5	0.41935483870967744	-0.004754934898392361
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	1	211	169	62	16	0.8	permuted_truth_control	7	0.0	0.016129032258064516	0.03225806451612903	0.015656334186718975	145.5	0.532258064516129	-0.013976310730702265
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	1	211	169	62	16	0.8	permuted_truth_control	8	0.0	0.0	0.03225806451612903	0.018361757185810405	128.0	0.46774193548387094	0.018178910679002565
