threshold_set	metric	failed_records	threshold	observed_min	observed_median	observed_max
prespecified	spearman	0	0.95	0.999655918069297	0.9999457377536611	0.999999749333222
prespecified	top_overlap	0	0.9	0.9642857142857144	0.9966666666666666	1.0
prespecified	rmae	0	0.1	5.276762711747102e-05	0.0036187987722215	0.0047057446820513
prespecified	relative_l1	0	0.1	0.0004395518783005	0.0057783184265934005	0.0073845548223194
prespecified	direction_cosine	0	0.99	0.9999764572792876	0.9999925856303449	0.999999938811116
prespecified	neighborhood_error	0	0.15	7.781509085194982e-05	0.0096526177981865	0.0125148912864841
moderately_stricter	spearman	0	0.975	0.999655918069297	0.9999457377536611	0.999999749333222
moderately_stricter	top_overlap	0	0.95	0.9642857142857144	0.9966666666666666	1.0
moderately_stricter	rmae	0	0.05	5.276762711747102e-05	0.0036187987722215	0.0047057446820513
moderately_stricter	relative_l1	0	0.05	0.0004395518783005	0.0057783184265934005	0.0073845548223194
moderately_stricter	direction_cosine	0	0.995	0.9999764572792876	0.9999925856303449	0.999999938811116
moderately_stricter	neighborhood_error	0	0.075	7.781509085194982e-05	0.0096526177981865	0.0125148912864841
stringent	spearman	0	0.99	0.999655918069297	0.9999457377536611	0.999999749333222
stringent	top_overlap	3	0.975	0.9642857142857144	0.9966666666666666	1.0
stringent	rmae	0	0.02	5.276762711747102e-05	0.0036187987722215	0.0047057446820513
stringent	relative_l1	0	0.02	0.0004395518783005	0.0057783184265934005	0.0073845548223194
stringent	direction_cosine	0	0.999	0.9999764572792876	0.9999925856303449	0.999999938811116
stringent	neighborhood_error	0	0.05	7.781509085194982e-05	0.0096526177981865	0.0125148912864841
stress	spearman	0	0.999	0.999655918069297	0.9999457377536611	0.999999749333222
stress	top_overlap	35	0.99	0.9642857142857144	0.9966666666666666	1.0
stress	rmae	0	0.01	5.276762711747102e-05	0.0036187987722215	0.0047057446820513
stress	relative_l1	0	0.01	0.0004395518783005	0.0057783184265934005	0.0073845548223194
stress	direction_cosine	0	0.9999	0.9999764572792876	0.9999925856303449	0.999999938811116
stress	neighborhood_error	0	0.02	7.781509085194982e-05	0.0096526177981865	0.0125148912864841
