threshold_set	independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90	biological_pairs	gate_pass	sensitivity_gate_pass
prespecified	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9999434321230858	1.0	0.0038860013788134	0.0056869761903758	0.9999928211667402	0.0102760172727529	0.01279695707679	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9999398349389984	1.0	0.003921666969812	0.0057558267705284	0.999992719053712	0.0105271972077505	0.0131609602405276	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.999995250698424	1.0	0.0003486719935248	0.0005012593900633	0.9999996906408556	0.000547416417988	0.0011544013455759	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.999947265773334	1.0	0.003918293734337	0.0057413708109784	0.9999929910131736	0.0105099671827584	0.013086558239542	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999646948608554	1.0	0.0037668379018972	0.0056961035542652	0.9999922552691438	0.0097494880081203	0.012076080063912	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999646948608554	1.0	0.0037993443017666	0.005749911807242	0.9999921435591947	0.0099873272493325	0.0123096858761266	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999882393609872	1.0	0.0002109874805241	0.0007839807172776	0.9999994122137584	0.0005111830160433	0.0008950062098118	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999695138287504	0.9857142857142858	0.0038374588381078	0.0057321085272638	0.9999929122895052	0.0101287326266185	0.0121792381974953	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9999496129569188	1.0	0.0032435103065831	0.0047543106249605	0.999994200817443	0.0086044840399624	0.0108292768052676	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9999487789577096	0.9821428571428572	0.0032736732655052	0.0048053079742207	0.999994105707186	0.0088757564697956	0.0111222081116092	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999968687570244	1.0	0.0005290398804502	0.0005844963283887	0.9999999333885428	0.0013925378033044	0.0015486001913674	1	True	True
prespecified	HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9999400059839372	1.0	0.0041525777553625	0.0059433469720094	0.9999920710590888	0.0112158061442694	0.013654756629943	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9998024357112538	0.9814814814814814	0.0039286901409829	0.0058072853339061	0.9999921841187374	0.0101667377036027	0.01451501386636	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9998422546531384	1.0	0.0039675208386788	0.0058716412870656	0.9999920780272882	0.0103424487485215	0.0151038779291396	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999951446066616	1.0	0.000722390042921	0.0005612493491985	0.9999997645407004	0.0005942694070317	0.0036085091535666	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9997453529327353	1.0	0.0041302199457096	0.0060145246838777	0.999992904337802	0.010985088460998	0.0154940219220514	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999643689043778	1.0	0.0037878048145599	0.0056066002668135	0.9999921058693902	0.0096943973486463	0.0121833147413497	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999780996791074	0.9814814814814814	0.0038230804981991	0.0056595123014937	0.9999919968230468	0.00987834119054	0.0125693994694968	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.999978023102802	1.0	0.0004985238104192	0.0009972000937764	0.9999994736464342	0.001198504996439	0.002286590391783	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999559038728296	0.9772727272727272	0.0039601797956673	0.0057469619619314	0.9999929407129352	0.010288122969249	0.0130981804392468	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9998514765707852	1.0	0.0033035074551203	0.0049522992704934	0.9999925633282744	0.0084617759113248	0.012500616788121	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9998292788216268	0.9814814814814814	0.0033371449319131	0.0050030410590379	0.999992462375493	0.0087904864742015	0.0131205955657493	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.999997867788716	1.0	0.0003874625971725	0.0005763232130201	0.999999877049641	0.0012597279533599	0.0014385301292745	1	True	True
prespecified	HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.999825992137118	0.9772727272727272	0.0042943810966547	0.0063155504247322	0.9999903447520464	0.011417867841471	0.0160081340987788	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9997138122725364	1.0	0.0040929587584233	0.0059118409922345	0.9999926250246868	0.0109638988576652	0.0147408285376756	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9997243305090796	1.0	0.0041288744338867	0.0059716953247407	0.9999925234719554	0.0111388928682165	0.0151198163413772	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999835833073044	1.0	0.0013964128370763	0.0010188272278795	0.999999205787574	0.0015214414403091	0.0040545624295931	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9996653170712568	1.0	0.0041500276453093	0.0060262262588222	0.999992865864787	0.0112134271343529	0.0150134431768139	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999670010031924	1.0	0.0036952596420256	0.0057051833423452	0.9999926193268752	0.009638451408405	0.0120171797830156	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999431857261628	0.9642857142857144	0.0037242828645489	0.0057590599037335	0.9999925176746384	0.0099105917264765	0.0123469629718919	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999682064986786	1.0	0.0007781324864511	0.0012881070558061	0.9999985216946938	0.0013012285165913	0.0027960989791519	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999333761508564	1.0	0.0038207218210325	0.0057728962238583	0.9999929541318928	0.0102474130238851	0.0123845838395585	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9997581113473994	1.0	0.0033566432678808	0.0050963674079944	0.9999928580606804	0.0091270922176724	0.0126340695670781	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9998173366122092	0.9642857142857144	0.0033868481403762	0.0051490353236177	0.9999927429990498	0.0093683537274088	0.0130882129195593	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999975062033192	1.0	0.0006343313488187	0.0006515950316631	0.9999998661820552	0.001420132419749	0.0015684848398097	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.999779561849027	1.0	0.0042546842678864	0.0063561128832503	0.999990304429057	0.0116200736326672	0.0154421036113652	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9998929915713596	1.0	0.0039950181097174	0.0058792449260424	0.9999924779344004	0.0104829304326075	0.0140068957188058	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9999078446783044	1.0	0.0040364066920939	0.0059356370194851	0.9999923551090886	0.0108239398063057	0.0146038410246593	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999939671168396	1.0	0.0004426321873191	0.0005225747694517	0.999999810186526	0.0005523828676042	0.0016498531463355	1	True	True
