cohort_role,method,epsilon,tau,grid_role,arm,intervention,score,claim_status,independent_units,median_spearman,median_top_decile_overlap,median_nmae,unit_gate_pass_fraction,estimable_units
legacy_replication,balanced_ot,0.1,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,3,0.8330300431244637,0.6066666666666667,3.111487540078111,0.0,3
legacy_replication,balanced_ot,0.1,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,3,0.5955395304620136,0.6599999999999999,3.8155537840614953,0.0,3
legacy_replication,balanced_ot,0.1,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,3,0.0480294506797558,0.1633333333333333,3.627387319110541,0.0,3
legacy_replication,balanced_ot,0.1,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,3,-0.0912236440993973,0.09,3.953679362621356,0.0,3
legacy_replication,balanced_ot,0.1,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,3,0.9766019878231058,0.8033333333333333,0.3748798457889546,1.0,3
legacy_replication,balanced_ot,0.1,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,3,0.9766019878231058,0.8033333333333333,0.3748798457889546,1.0,3
legacy_replication,balanced_ot,0.1,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,3,-0.2124139646284287,0.08,4.685192953248063,0.0,3
legacy_replication,balanced_ot,0.1,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,3,-0.2124139646284287,0.08,4.685192953248063,0.0,3
legacy_replication,balanced_ot,0.25,,baseline,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,3,0.7377553216690319,0.5,4.893121647159756,0.0,3
legacy_replication,balanced_ot,0.25,,baseline,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,3,0.0925689975862211,0.2533333333333333,8.309530483027702,0.0,3
legacy_replication,balanced_ot,0.25,,baseline,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,3,0.3278681048302689,0.2933333333333333,2.292872465815961,0.0,3
legacy_replication,balanced_ot,0.25,,baseline,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,3,0.4039930311080139,0.3833333333333333,2.3256583713934327,0.0,3
legacy_replication,balanced_ot,0.25,,baseline,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,3,0.997363397939288,0.9233333333333332,0.1593009840254486,1.0,3
legacy_replication,balanced_ot,0.25,,baseline,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,3,0.997363397939288,0.9233333333333332,0.1593009840254486,1.0,3
legacy_replication,balanced_ot,0.25,,baseline,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,3,0.3852393374397056,0.37,2.3306769462315744,0.0,3
legacy_replication,balanced_ot,0.25,,baseline,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,3,0.3852393374397056,0.37,2.3306769462315744,0.0,3
