dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,intervention,exact_max_abs_difference,fd_max_abs_difference,frozen_path_exists
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,ALL,,,False
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,ALL,,,False
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,row_softmax,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,ALL,,,False
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,reverse,SDLPFC_Br2720_ANT_MID__reverse,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID__reverse,ALL,,,False
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,reverse,SDLPFC_Br2720_ANT_MID__reverse,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID__reverse,ALL,,,False
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,reverse,SDLPFC_Br2720_ANT_MID__reverse,spatialDLPFC::Br2720,row_softmax,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID__reverse,ALL,,,False
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,forward,SDLPFC_Br2743_ANT_MID,spatialDLPFC::Br2743,balanced_ot,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID,ALL,,,False
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,forward,SDLPFC_Br2743_ANT_MID,spatialDLPFC::Br2743,uot,0.25,2.0,baseline,1,SDLPFC_Br2743_ANT_MID,ALL,,,False
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,forward,SDLPFC_Br2743_ANT_MID,spatialDLPFC::Br2743,row_softmax,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID,ALL,,,False
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2743_ANT_MID,reverse,SDLPFC_Br2743_ANT_MID__reverse,spatialDLPFC::Br2743,balanced_ot,0.25,,baseline,1,SDLPFC_Br2743_ANT_MID__reverse,ALL,,,False
