dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,arm,stage,intervention,solver_iterations,converged,runtime_seconds,peak_memory_mb,memory_measurement,solver_last_error,row_mass_l1,col_mass_l1
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.1,,epsilon_scan,shared,base,NONE,200,True,7.642227699999694,298.25,process_rss_after_solve,1.7763568394002505e-15,4.3639137442541553e-16,1.273395451584225e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.1,,epsilon_scan,R,full_endpoint,I_EXPR,200,True,7.6707658000000265,401.2890625,process_rss_after_solve,3.552713678800501e-15,8.230178691337464e-16,1.3099330647969865e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.1,,epsilon_scan,R,matched_fd,I_EXPR,200,True,7.625621099999989,401.2890625,process_rss_after_solve,1.7763568394002505e-15,5.590146401335261e-16,1.3034278517620734e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.1,,epsilon_scan,R,full_endpoint,I_SPATIAL,200,True,7.582103500000358,487.234375,process_rss_after_solve,1.7763568394002505e-15,6.868420762695671e-16,1.3002836654618655e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.1,,epsilon_scan,R,matched_fd,I_SPATIAL,200,True,7.667342900000222,487.234375,process_rss_after_solve,1.7763568394002505e-15,6.648327721681113e-16,1.2732870313669764e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.1,,epsilon_scan,N,full_endpoint,I_EXPR,200,True,7.70338430000038,573.19140625,process_rss_after_solve,1.049826892085548e-12,4.013995082499666e-13,1.3417001884508117e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.1,,epsilon_scan,N,matched_fd,I_EXPR,200,True,7.650512200000321,573.19140625,process_rss_after_solve,1.7763568394002505e-15,4.1297260749972864e-16,1.2936700322097039e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.1,,epsilon_scan,N,full_endpoint,I_SPATIAL,200,True,7.616505800000141,418.69140625,process_rss_after_solve,1.7763568394002505e-15,3.745918505937418e-16,1.2934531917752068e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.1,,epsilon_scan,N,matched_fd,I_SPATIAL,200,True,7.659430599999723,418.69140625,process_rss_after_solve,1.7763568394002505e-15,5.502326025363935e-16,1.3260876771670205e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,shared,base,NONE,200,True,18.213490300000103,298.37109375,process_rss_after_solve,0.0,5.89914402049363e-16,1.2416283279303997e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,R,full_endpoint,I_EXPR,200,True,19.38958159999993,401.453125,process_rss_after_solve,1.7763568394002505e-15,6.194047011409687e-16,1.2758891165809416e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,R,matched_fd,I_EXPR,200,True,19.04352020000033,401.39453125,process_rss_after_solve,3.552713678800501e-15,9.72637768936746e-16,1.3848514349157348e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,R,full_endpoint,I_SPATIAL,200,True,18.31577619999962,487.2421875,process_rss_after_solve,3.552713678800501e-15,1.0110185258427329e-15,1.4137996329210978e-15
