method,epsilon,tau,grid_role,arm,intervention,score,claim_status,gate_family,independent_units,median_spearman,median_top_decile_overlap,median_nmae,unit_gate_pass_fraction,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,witness,median_nex_aurc,median_relative_fixed_qc_gain,positive_unit_fraction,positive_technology_count,leave_one_unit_out_fixed_qc_low,negative_control_pass_fraction,leakage_control_pass_fraction,confound_direction_pass_fraction,sensitivity_external_gate,sensitivity_external_gate_with_controls,registered_gate_status,confirmatory
balanced_ot,0.1,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.8636118016052452,0.6316666666666667,4.461490054598961,0.0,True,True,False,False,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.3620464435761972,0.48833333333333334,6.244046619431967,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.3173775766122563,0.09333333333333334,4.3156292281741475,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.3623696241642774,0.023333333333333334,4.42758418298874,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9817989323550812,0.9283333333333332,0.2890488233170528,1.0,True,True,True,True,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9817989323550812,0.9283333333333332,0.2890488233170528,1.0,True,True,True,True,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.43709186270749456,0.011666666666666667,4.861040069578786,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.1,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.43709186270749456,0.011666666666666667,4.861040069578786,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.6981190702751424,0.44,6.108106765911863,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.1691291453907313,0.06666666666666667,11.334816052571957,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.5756035758238115,0.435,2.172830278217783,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.5771126609389604,0.40166666666666667,2.1021419157493857,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9952525187788973,0.9816666666666667,0.22074691451743023,1.0,True,True,True,True,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9952525187788973,0.9816666666666667,0.22074691451743023,1.0,True,True,True,True,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.42245495931331534,0.3733333333333333,2.4659301867567236,0.0,False,False,False,False,,,,,,,,,,,,,
balanced_ot,0.25,,baseline,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.42245495931331534,0.3733333333333333,2.4659301867567236,0.0,False,False,False,False,,,,,,,,,,,,,
