dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,intervention,max_absolute_plan_difference,mean_absolute_plan_difference,normalized_l1_plan_difference,equivalence_tolerance,equivalence_pass,row_response_spearman,row_response_nmae,transported_mass_difference,objective_n,objective_s,objective_ratio_s_over_n,gate_n,gate_s_reference,gate_conclusion_consistent,claim_status
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4206660898299277,-1.7103330449149639,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.8945143927337664,-1.4472571963668832,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.964007482313289,-2.4820037411566447,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.95428020774641,-1.977140103873205,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,row_softmax,0.25,,baseline,1,DLPFCML_151507_151508,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,row_softmax,0.25,,baseline,1,DLPFCML_151507_151508,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,reverse,DLPFCML_151507_151508__reverse,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.420666089829924,-1.710333044914962,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,reverse,DLPFCML_151507_151508__reverse,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.894514392733762,-1.447257196366881,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,reverse,DLPFCML_151507_151508__reverse,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.9640074823132885,-2.4820037411566442,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,reverse,DLPFCML_151507_151508__reverse,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.954280207746412,-1.977140103873206,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,reverse,DLPFCML_151507_151508__reverse,spatialLIBD_manual::Br5292,row_softmax,0.25,,baseline,1,DLPFCML_151507_151508__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,reverse,DLPFCML_151507_151508__reverse,spatialLIBD_manual::Br5292,row_softmax,0.25,,baseline,1,DLPFCML_151507_151508__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,forward,DLPFCML_151509_151510,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151509_151510,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4224725377691936,-1.7112362688845968,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,forward,DLPFCML_151509_151510,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151509_151510,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.901364358613579,-1.4506821793067894,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,forward,DLPFCML_151509_151510,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151509_151510,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.9676762255987335,-2.4838381127993667,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,forward,DLPFCML_151509_151510,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151509_151510,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.967905426687599,-1.9839527133437995,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,forward,DLPFCML_151509_151510,spatialLIBD_manual::Br5292,row_softmax,0.25,,baseline,1,DLPFCML_151509_151510,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,forward,DLPFCML_151509_151510,spatialLIBD_manual::Br5292,row_softmax,0.25,,baseline,1,DLPFCML_151509_151510,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,reverse,DLPFCML_151509_151510__reverse,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151509_151510__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4224725377691967,-1.7112362688845983,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,reverse,DLPFCML_151509_151510__reverse,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151509_151510__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.901364358613578,-1.450682179306789,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,reverse,DLPFCML_151509_151510__reverse,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151509_151510__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.967676225598736,-2.483838112799368,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,reverse,DLPFCML_151509_151510__reverse,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151509_151510__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.9679054266875964,-1.9839527133437982,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,reverse,DLPFCML_151509_151510__reverse,spatialLIBD_manual::Br5292,row_softmax,0.25,,baseline,1,DLPFCML_151509_151510__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151509_151510,reverse,DLPFCML_151509_151510__reverse,spatialLIBD_manual::Br5292,row_softmax,0.25,,baseline,1,DLPFCML_151509_151510__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151669_151670,forward,DLPFCML_151669_151670,spatialLIBD_manual::Br5595,balanced_ot,0.25,,baseline,1,DLPFCML_151669_151670,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.417203649311088,-1.708601824655544,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151669_151670,forward,DLPFCML_151669_151670,spatialLIBD_manual::Br5595,balanced_ot,0.25,,baseline,1,DLPFCML_151669_151670,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.8683925851702936,-1.4341962925851468,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151669_151670,forward,DLPFCML_151669_151670,spatialLIBD_manual::Br5595,uot,0.25,2.0,baseline,1,DLPFCML_151669_151670,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.9575668266002095,-2.4787834133001048,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151669_151670,forward,DLPFCML_151669_151670,spatialLIBD_manual::Br5595,uot,0.25,2.0,baseline,1,DLPFCML_151669_151670,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.92375009582065,-1.961875047910325,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151669_151670,forward,DLPFCML_151669_151670,spatialLIBD_manual::Br5595,row_softmax,0.25,,baseline,1,DLPFCML_151669_151670,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151669_151670,forward,DLPFCML_151669_151670,spatialLIBD_manual::Br5595,row_softmax,0.25,,baseline,1,DLPFCML_151669_151670,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151669_151670,reverse,DLPFCML_151669_151670__reverse,spatialLIBD_manual::Br5595,balanced_ot,0.25,,baseline,1,DLPFCML_151669_151670__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.417203649311089,-1.7086018246555446,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151669_151670,reverse,DLPFCML_151669_151670__reverse,spatialLIBD_manual::Br5595,balanced_ot,0.25,,baseline,1,DLPFCML_151669_151670__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.868392585170291,-1.4341962925851455,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151669_151670,reverse,DLPFCML_151669_151670__reverse,spatialLIBD_manual::Br5595,uot,0.25,2.0,baseline,1,DLPFCML_151669_151670__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.957566826600206,-2.478783413300103,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
