dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,arm,stage,intervention,solver_iterations,converged,runtime_seconds,peak_memory_mb,memory_measurement,solver_last_error,row_mass_l1,col_mass_l1
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,shared,base,NONE,200,True,10.936695000000327,298.5234375,process_rss_after_solve,1.7763568394002505e-15,6.627727880403889e-16,1.2921521491682242e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,full_endpoint,I_EXPR,200,True,10.99830219999967,401.58984375,process_rss_after_solve,1.7763568394002505e-15,9.587599811289316e-16,1.3651189553764986e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,matched_fd,I_EXPR,200,True,10.982084199999008,401.58984375,process_rss_after_solve,1.7763568394002505e-15,5.883965190078833e-16,1.3408328267128233e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,full_endpoint,I_SPATIAL,200,True,10.852239800000461,487.46484375,process_rss_after_solve,1.7763568394002505e-15,7.066829760260518e-16,1.3393149436713436e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,matched_fd,I_SPATIAL,200,True,11.024554999999964,487.46484375,process_rss_after_solve,1.7763568394002505e-15,5.006845632538059e-16,1.2828280104848488e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,N,full_endpoint,I_EXPR,200,True,11.334598400000687,573.24609375,process_rss_after_solve,3.7125857943465235e-13,1.658816313476752e-13,1.2902005852577503e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,N,matched_fd,I_EXPR,200,True,11.112303600000814,573.24609375,process_rss_after_solve,1.7763568394002505e-15,4.906014830496908e-16,1.288357441564525e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,N,full_endpoint,I_SPATIAL,200,True,11.056724799998847,418.74609375,process_rss_after_solve,1.7763568394002505e-15,3.8359072862537147e-16,1.292694250254467e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,N,matched_fd,I_SPATIAL,200,True,11.014347199999975,418.74609375,process_rss_after_solve,1.7763568394002505e-15,5.764702951105427e-16,1.32836450172924e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,shared,base,NONE,200,True,10.879676099999415,298.390625,process_rss_after_solve,0.0,9.778419393646764e-16,1.3402907256265806e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,full_endpoint,I_EXPR,200,True,10.89683420000074,401.45703125,process_rss_after_solve,3.552713678800501e-15,9.544231724389896e-16,1.3664199979834812e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,matched_fd,I_EXPR,200,True,11.038971799998762,401.45703125,process_rss_after_solve,3.552713678800501e-15,6.001059024707267e-16,1.2684081215907916e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,full_endpoint,I_SPATIAL,200,True,10.936102100000426,487.30859375,process_rss_after_solve,3.552713678800501e-15,6.843484112728504e-16,1.2806596061398778e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,matched_fd,I_SPATIAL,200,True,11.147621800000707,487.30859375,process_rss_after_solve,0.0,6.03900610074426e-16,1.2800090848363865e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,full_endpoint,I_EXPR,200,True,11.255188199998884,573.09375,process_rss_after_solve,0.0,6.186457596202288e-16,1.2890079628680162e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,matched_fd,I_EXPR,200,True,11.111528999999791,573.09375,process_rss_after_solve,1.7763568394002505e-15,6.079121581126223e-16,1.2662397172458206e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,full_endpoint,I_SPATIAL,200,True,10.979839800000263,418.59375,process_rss_after_solve,3.552713678800501e-15,9.475926987523309e-16,1.3785630623153189e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,matched_fd,I_SPATIAL,200,True,10.963519099999758,418.59375,process_rss_after_solve,1.7763568394002505e-15,6.199468022272114e-16,1.2713354674565025e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.125,,scale_equivalence,S,full_endpoint,I_EXPR,200,True,11.022559199998796,480.64453125,process_rss_after_solve,0.0,6.186457596202288e-16,1.2890079628680162e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.125,,scale_equivalence,S,full_endpoint,I_SPATIAL,200,True,10.858449800000017,514.98046875,process_rss_after_solve,3.552713678800501e-15,9.475926987523309e-16,1.3785630623153189e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,shared,base,NONE,200,True,10.90822069999922,298.3203125,process_rss_after_solve,1.7763568394002505e-15,9.918281473897395e-16,1.453047751565073e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,R,full_endpoint,I_EXPR,200,True,10.805357900000672,401.38671875,process_rss_after_solve,0.0,9.762156361059482e-16,1.3608905669038052e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,R,matched_fd,I_EXPR,200,True,10.968996300000072,401.38671875,process_rss_after_solve,1.7763568394002505e-15,9.880334397860402e-16,1.396127137509584e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,R,full_endpoint,I_SPATIAL,200,True,11.000258600000961,487.23828125,process_rss_after_solve,3.552713678800501e-15,9.904186845655083e-16,1.4589024432964948e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,R,matched_fd,I_SPATIAL,200,True,10.972734700000728,487.23828125,process_rss_after_solve,0.0,6.591949208711867e-16,1.292911090688964e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,full_endpoint,I_EXPR,200,True,11.189646599999833,573.0234375,process_rss_after_solve,3.552713678800501e-15,9.544231724389896e-16,1.3664199979834812e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,matched_fd,I_EXPR,200,True,11.14595240000017,573.0234375,process_rss_after_solve,1.7763568394002505e-15,1.0245710529988017e-15,1.3591558434278284e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,full_endpoint,I_SPATIAL,200,True,10.950073599999087,418.5234375,process_rss_after_solve,3.552713678800501e-15,6.843484112728504e-16,1.2806596061398778e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,matched_fd,I_SPATIAL,200,True,10.992076599999564,418.5234375,process_rss_after_solve,0.0,6.482444789290831e-16,1.2582166211694279e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,shared,base,NONE,185,True,10.126852299999882,318.6875,process_rss_after_solve,6.363891635885466e-09,0.20488383740502128,0.20442673543503753
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,R,full_endpoint,I_EXPR,185,True,9.95108750000145,387.34375,process_rss_after_solve,9.50276657363247e-09,0.35636716600685225,0.35636716600685225
