method	strategy	coverage	metric	n_independent_units	median	q25	q75
balanced_ot	all_top1	1.0	training_positive_precision	8	0.6888548173893374	0.6104839473230061	0.7765551550051633
balanced_ot	all_top1	1.0	top1	8	0.00467511321022232	0.003720238095238095	0.005007193660204838
balanced_ot	all_top1	1.0	top5	8	0.022432937402508145	0.02048850787658199	0.026252177860563167
balanced_ot	all_top1	1.0	top10	8	0.044187680049258465	0.042466334390627324	0.04952967953176679
balanced_ot	all_top1	1.0	mean_reciprocal_rank	8	0.025544912455532455	0.024957015865514146	0.025635108494785064
balanced_ot	all_top1	1.0	median_true_rank	8	136.725	114.3125	178.7625
balanced_ot	all_top1	1.0	region_label_accuracy	8	0.48431740571501547	0.3507078007005386	0.8086374874598309
balanced_ot	all_top1	1.0	true_pair_cosine	8	0.8005500097930445	0.7807367298248735	0.8334091971524713
balanced_ot	identity_no_training	0.0	top1	8	0.9119950049156633	0.8412085618994555	0.9642938039134843
balanced_ot	identity_no_training	0.0	top5	8	0.9712413700199429	0.9292672509742794	0.9937421581560248
balanced_ot	identity_no_training	0.0	top10	8	0.9844276238085587	0.9548713548524617	0.9969072164948454
balanced_ot	identity_no_training	0.0	mean_reciprocal_rank	8	0.9382416032435094	0.880028365294842	0.9779724398041864
balanced_ot	identity_no_training	0.0	median_true_rank	8	1.0	1.0	1.2375
balanced_ot	identity_no_training	0.0	region_label_accuracy	8	0.9829262975391004	0.9656076014693377	0.9888283937458087
balanced_ot	identity_no_training	0.0	true_pair_cosine	8	0.41356613272778897	0.40523052838886275	0.41887142656992077
balanced_ot	max_probability_gate	0.8	training_positive_precision	8	0.6595739616489437	0.6266343266198066	0.7675565164828637
balanced_ot	max_probability_gate	0.8	top1	8	0.002734871599288075	0.001879835589941973	0.003975161125951278
balanced_ot	max_probability_gate	0.8	top5	8	0.017910372046572545	0.01554281440523488	0.020696469242650287
balanced_ot	max_probability_gate	0.8	top10	8	0.041427194894410956	0.03693128224308735	0.048823619757520836
balanced_ot	max_probability_gate	0.8	mean_reciprocal_rank	8	0.022806338886255537	0.020873769315017398	0.025453490077802142
balanced_ot	max_probability_gate	0.8	median_true_rank	8	142.57500000000002	115.8625	187.8
balanced_ot	max_probability_gate	0.8	region_label_accuracy	8	0.4874141248133723	0.34462421481432104	0.8141136779360214
balanced_ot	max_probability_gate	0.8	true_pair_cosine	8	0.7986624576667365	0.778074049836486	0.8316041324994108
balanced_ot	oracle_truth	0.8	training_positive_precision	8	1.0	1.0	1.0
balanced_ot	oracle_truth	0.8	top1	8	0.004877915224169845	0.003720238095238095	0.005840348763431965
balanced_ot	oracle_truth	0.8	top5	8	0.01866456272421935	0.017579329702329158	0.021183404524156374
balanced_ot	oracle_truth	0.8	top10	8	0.03986804831096814	0.03746796121160634	0.045593960135286
balanced_ot	oracle_truth	0.8	mean_reciprocal_rank	8	0.024815167446727238	0.02323596749429851	0.026345085734366114
balanced_ot	oracle_truth	0.8	median_true_rank	8	137.77499999999998	113.825	182.7875
