dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	strategy	coverage	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	all_top1	1.0	0.7396764597096084	0.00784313725490196	0.015468409586056645	0.04175465057817999	0.026961432055178258	117.1	0.871853257432005	0.8176928279271927
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	identity_no_training	0.0		0.822777696686615	0.9331078999010687	0.9662814836439125	0.8687341944097826	1.0	0.9864010120177102	0.4034914740492678
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	max_probability_gate	0.8	0.7096573607042309	0.0	0.011689291101055807	0.04916205798558739	0.02188013193643776	120.9	0.871853257432005	0.8164481459225561
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	oracle_truth	0.8	1.0	0.00784313725490196	0.01917211328976035	0.034347243170772576	0.027139638048520064	119.3	0.8681495537283013	0.8193845979844067
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	random_gate	0.8	0.7430017774221442	0.00784313725490196	0.01700519524048936	0.04471761354114295	0.026221173369156164	121.96	0.8711996626607632	0.8174467723534893
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	top2_margin_gate	0.8	0.830797944017221	0.00784313725490196	0.019096698508463215	0.045458354281883696	0.02736388134900094	119.8	0.8681495537283013	0.8179870203884674
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	row_softmax	all_top1	1.0	0.7729613856010165	0.00784313725490196	0.01931456343221049	0.03783308195072901	0.028162604301513922	123.5	0.871853257432005	0.8178059806995577
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	row_softmax	identity_no_training	0.0		0.822777696686615	0.9331078999010687	0.9662814836439125	0.8687341944097826	1.0	0.9864010120177102	0.4034914740492678
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	row_softmax	max_probability_gate	0.8	0.799234292044819	0.0	0.015468409586056645	0.034347243170772576	0.021989415071426564	123.0	0.871853257432005	0.8178199778949136
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	row_softmax	oracle_truth	0.8	1.0	0.00784313725490196	0.01931456343221049	0.045458354281883696	0.027316065950012985	118.1	0.871853257432005	0.8195435328079966
