dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	representation_features	model	ridge_alpha	fold	strategy	coverage	repeat	source_ids_sha256	n_train_available	n_train_selected	n_test	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	0	identity_no_training	0.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	0	54		0.8148148148148148	0.9259259259259259	0.9629629629629629	0.8613195285551377	1.0	1.0	0.40296361422688975
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	0	all_top1	1.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	219	54	0.7808219178082192	0.0	0.0	0.037037037037037035	0.01966364587863443	106.0	1.0	0.818196279215232
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	0	max_probability_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7613636363636364	0.0	0.0	0.037037037037037035	0.01788191571973102	104.5	1.0	0.8173374369754135
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	0	top2_margin_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.875	0.0	0.0	0.037037037037037035	0.01980202761536512	108.0	0.9814814814814815	0.818707879021749
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	0	oracle_truth	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	1.0	0.0	0.0	0.037037037037037035	0.01768629956376376	107.5	0.9814814814814815	0.8196910180131874
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	0	random_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7954545454545454	0.0	0.0	0.037037037037037035	0.018381512758828232	108.0	0.9814814814814815	0.8186098671822584
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	0	random_gate	0.8	1	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.8011363636363636	0.0	0.0	0.037037037037037035	0.018910371918948645	109.0	0.9814814814814815	0.8187448047158825
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	0	random_gate	0.8	2	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7727272727272727	0.0	0.018518518518518517	0.037037037037037035	0.020108228210618112	109.5	1.0	0.817878263776769
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	0	random_gate	0.8	3	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7727272727272727	0.0	0.0	0.037037037037037035	0.018498778330526752	110.0	0.9814814814814815	0.8180596632079277
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	0	random_gate	0.8	4	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7840909090909091	0.0	0.0	0.037037037037037035	0.0186329903751926	107.5	1.0	0.8174516660001713
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	1	identity_no_training	0.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	0	62		0.8548387096774194	0.9516129032258065	0.9838709677419355	0.8901177675371224	1.0	0.9516129032258065	0.4056671528694717
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	1	all_top1	1.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	211	62	0.6966824644549763	0.0	0.0	0.0	0.014883287719615383	162.0	0.5161290322580645	0.8111511207633384
