method	n_independent_units	median_difference	q25_difference	q75_difference	bootstrap_median_ci95_low	bootstrap_median_ci95_high	units_improved	units_worsened	units_tied	wilcoxon_two_sided_p_raw	metric	wilcoxon_p_holm	primary_endpoint
balanced_ot	8	0.0022604703999605062	0.0015700794869469943	0.0034351222102149996	0.001545088444532626	0.003907299704377299	8	0	0	0.0078125	mean_reciprocal_rank	0.0234375	False
row_softmax	8	0.0010074887001744158	5.145050655685872e-05	0.0017605954019841424	-0.0008460848069032703	0.0024491574561955123	6	2	0	0.3828125	mean_reciprocal_rank	0.3828125	False
uot	8	0.0011425959810526902	0.0007517036940144937	0.0021329978587199434	0.00044629875622062207	0.00242969131267233	7	1	0	0.0234375	mean_reciprocal_rank	0.046875	False
balanced_ot	8	2.125	0.7625000000000028	6.125	0.5000000000000284	8.75	7	1	0	0.015625	median_true_rank	0.046875	False
row_softmax	8	1.1499999999999915	0.9250000000000078	2.387500000000003	0.5499999999999972	2.6499999999999773	7	1	0	0.0234375	median_true_rank	0.046875	False
uot	8	2.374999999999986	0.8125000000000036	3.025000000000013	-0.05000000000001137	3.25	6	2	0	0.0390625	median_true_rank	0.046875	False
balanced_ot	8	-0.002053220710321435	-0.015966628346649414	0.002483991992175555	-0.020088418377891992	0.003809523809523818	3	5	0	0.3828125	region_label_accuracy	0.75	False
row_softmax	8	-0.004752501080743349	-0.011273354044633643	-0.002386039886039859	-0.019718851718604213	-0.0018518518518517713	1	7	0	0.1953125	region_label_accuracy	0.5859375	False
uot	8	-0.00401483792693183	-0.014983254286169118	0.00031938660505705097	-0.020104639052007434	0.0004034205461023177	3	4	1	0.375	region_label_accuracy	0.75	False
balanced_ot	8	0.002254305977710233	0.0010964912280701754	0.003560315430520034	-0.0008771929824561405	0.003803282182438193	6	2	0	0.0390625	top1	0.1171875	True
row_softmax	8	0.00043859649122807	-0.0003846153846153846	0.0015291643747058258	-0.0015384615384615385	0.0024390243902439024	4	2	2	0.84375	top1	1.0	True
uot	8	0.0	0.0	0.00033102049193268275	0.0	0.001324081967730731	2	1	5	0.5	top1	1.0	True
balanced_ot	8	0.004898708630288788	0.0016492804235789752	0.006474163669583467	0.001012863112395481	0.00918612836254444	7	1	0	0.0234375	top10	0.0703125	False
row_softmax	8	-0.0005608974358974339	-0.0020057773695403985	0.0016778543700827295	-0.0025788742018331354	0.005316606929510158	4	4	0	1.0	top10	1.0	False
uot	8	0.00300557457328959	-0.00219075967217814	0.010832073739149616	-0.0023800599653082954	0.01106865538238086	5	3	0	0.25	top10	0.5	False
balanced_ot	8	0.003932061731606463	0.0018269230769230767	0.004653418062944916	0.0015384615384615372	0.005626780626780629	7	1	0	0.015625	top5	0.046875	False
row_softmax	8	0.0014797073918300045	-0.0017487953891462656	0.003033297720797721	-0.0023168189834856454	0.004583333333333335	5	3	0	0.640625	top5	0.9375	False
uot	8	0.0009193657219973006	-0.0007697014474461255	0.0021093183974151574	-0.0014297135469823752	0.002437084520417852	4	3	1	0.46875	top5	0.9375	False
balanced_ot	8	0.12297836060904882	0.10023688052380128	0.1426734261200223	0.0987552295947084	0.14300074123153916	8	0	0	0.0078125	training_positive_precision	0.0234375	False
row_softmax	8	0.06176726309154018	0.046023603396472185	0.0949513344583211	0.03691127183024412	0.117695237260252	8	0	0	0.0078125	training_positive_precision	0.0234375	False
uot	8	0.10941211103340098	0.07889693230465733	0.11598578651921296	0.07326742955645948	0.1165630223157419	8	0	0	0.0078125	training_positive_precision	0.0234375	False
balanced_ot	8	0.002001725386528541	0.0009125715403981438	0.0022106065330682323	0.0006060551438078488	0.0022591243616432166	8	0	0	0.0078125	true_pair_cosine	0.0234375	False
row_softmax	8	0.0007619238505867654	0.0003850767859426285	0.0008837229199145924	0.00035042648579364233	0.0009171881390545034	7	1	0	0.1484375	true_pair_cosine	0.1484375	False
uot	8	0.0009157765954897479	0.0006392074298742778	0.0013407309514976706	0.00036575788838721923	0.0017201472910182147	8	0	0	0.0078125	true_pair_cosine	0.0234375	False
