dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	strategy	coverage	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	all_top1	1.0	0.7396764597096084	0.23125226379495828	0.5328989550052169	0.6964295561069754	0.3700188088250607	5.5	0.8783048703352309	0.9066269861263653
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	0.9962962962962963
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	max_probability_gate	0.8	0.7096573607042309	0.0917197813782254	0.3200062710499143	0.5077442060364261	0.21648689767361012	11.1	0.871853257432005	0.8949812837668627
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	oracle_truth	0.8	1.0	0.2986636176389497	0.6197921903804257	0.7659436037993913	0.44125576450364007	3.8	0.8847564832384567	0.9149010018411774
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	random_gate	0.8	0.7430017774221442	0.09788692648275191	0.30502403001454237	0.474833736086108	0.21115363594705788	11.940000000000001	0.8750790638836179	0.8961288079363514
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	top2_margin_gate	0.8	0.830797944017221	0.1882166431502295	0.4699616709104375	0.6376654935478465	0.322134207806064	6.9	0.8750790638836179	0.905390665515535
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	row_softmax	all_top1	1.0	0.7729613856010165	0.20758094249555353	0.5644885580369451	0.707623650507901	0.36693436618158043	4.9	0.8750790638836179	0.9101251953816991
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	row_softmax	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	0.9962962962962963
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	row_softmax	max_probability_gate	0.8	0.799234292044819	0.13309681744216847	0.3979997513204344	0.5718875860242084	0.26319420623019574	8.7	0.871853257432005	0.9031558153395872
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	row_softmax	oracle_truth	0.8	1.0	0.3086516161468723	0.6117728149986215	0.7437048930407564	0.4487046760116876	3.6	0.8847564832384567	0.9148549015334861
