method	n_independent_units	median_difference	q25_difference	q75_difference	bootstrap_median_ci95_low	bootstrap_median_ci95_high	units_improved	units_worsened	units_tied	wilcoxon_two_sided_p_raw	metric	wilcoxon_p_holm	primary_endpoint
balanced_ot	8	0.031513962065138554	0.019344454338114464	0.09682301817918104	0.005118632911927379	0.12288469398548851	7	0	1	0.015625	mean_reciprocal_rank	0.046875	False
row_softmax	8	0.018358514408381377	0.0	0.1251108860653905	0.0	0.17575119257832916	5	0	3	0.0625	mean_reciprocal_rank	0.0625	False
uot	8	0.020818777457602494	0.00030991735537189147	0.12174152384295159	0.0	0.1858557799179994	6	0	2	0.03125	mean_reciprocal_rank	0.0625	False
balanced_ot	8	1.5999999999999988	-0.0	6.9	0.0	7.350000000000001	5	0	3	0.0625	median_true_rank	0.1875	False
row_softmax	8	1.4249999999999998	-0.0	3.4000000000000004	0.0	3.55	5	0	3	0.0625	median_true_rank	0.1875	False
uot	8	1.3999999999999992	-0.0	5.6625000000000005	0.0	8.25	5	0	3	0.0625	median_true_rank	0.1875	False
balanced_ot	8	0.005755665209636496	0.00258521543944093	0.03166955908772991	0.0005021520803443202	0.07626451562621778	7	0	1	0.015625	region_label_accuracy	0.046875	False
row_softmax	8	0.0018268597761685323	0.0	0.04212452833658015	0.0	0.15815328576011367	5	0	3	0.0625	region_label_accuracy	0.125	False
uot	8	0.0014705882352941124	0.0	0.04365194115924345	0.0	0.16476905495955474	4	0	4	0.125	region_label_accuracy	0.125	False
balanced_ot	8	0.047553529628617086	0.008007276081164173	0.07702933407676378	0.0	0.11856731426251466	6	1	1	0.03125	top1	0.09375	True
row_softmax	8	0.013439464039787935	0.0	0.12076306361910732	0.0	0.2215971559365918	4	0	4	0.125	top1	0.125	True
uot	8	0.009782521565899392	0.0	0.1170902214445575	0.0	0.22635172019140343	5	0	3	0.0625	top1	0.125	True
balanced_ot	8	0.03413954070526562	0.0055984925650783	0.13516858376720886	0.004770400648107187	0.14942705735630035	7	0	1	0.015625	top10	0.046875	False
row_softmax	8	0.04166352677444672	0.0	0.09139564862634597	0.0	0.1170953345966399	5	0	3	0.0625	top10	0.125	False
uot	8	0.03276719881131511	0.0	0.10181494094912577	0.0	0.151171885544934	5	0	3	0.0625	top10	0.125	False
balanced_ot	8	0.034156588015978685	0.011843648454031741	0.1419572698038023	0.009071475916924365	0.1425805153100395	7	0	1	0.015625	top5	0.046875	False
row_softmax	8	0.02740903871176198	0.0	0.12086846971324547	0.0	0.1593247702040116	5	0	3	0.0625	top5	0.125	False
uot	8	0.041220299001727995	0.0	0.12644293794949962	0.0	0.14894746281373555	5	0	3	0.0625	top5	0.125	False
balanced_ot	8	0.12297836060904882	0.10023688052380128	0.1426734261200223	0.0987552295947084	0.14300074123153916	8	0	0	0.0078125	training_positive_precision	0.0234375	False
row_softmax	8	0.06176726309154018	0.046023603396472185	0.0949513344583211	0.03691127183024412	0.117695237260252	8	0	0	0.0078125	training_positive_precision	0.0234375	False
uot	8	0.10941211103340098	0.07889693230465733	0.11598578651921296	0.07326742955645948	0.1165630223157419	8	0	0	0.0078125	training_positive_precision	0.0234375	False
balanced_ot	8	0.019630963986755345	0.011304537479789017	0.026271682304777805	0.006631684442345187	0.02787384619950728	8	0	0	0.0078125	true_pair_cosine	0.0234375	False
row_softmax	8	0.00822166872575153	0.004126820815183757	0.013221483870133138	0.0033091331726727846	0.01452951402557201	8	0	0	0.0078125	true_pair_cosine	0.0234375	False
uot	8	0.013876221990525961	0.00847511613332888	0.019297994509849425	0.006253658432516018	0.019851459246642666	8	0	0	0.0078125	true_pair_cosine	0.0234375	False
