status	config_sha256	pair_path	pair_sha256	method	converged	iterations	solver_seconds	n_source	n_target
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED.npz	90f32ba4f6841fb386a0d98f9e4ada6344965658e2de3929aaf78db5b90c088a	balanced_ot	True	200	0.1845037000020966	341	273
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED.npz	90f32ba4f6841fb386a0d98f9e4ada6344965658e2de3929aaf78db5b90c088a	uot	True	80	0.14450629998464137	341	273
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED.npz	90f32ba4f6841fb386a0d98f9e4ada6344965658e2de3929aaf78db5b90c088a	row_softmax	True	1	0.001534900045953691	341	273
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED__reverse.npz	d65c4d3e92550112e8bc27632929e8d49d58e022635be0fd6ce781b3d61e1027	balanced_ot	True	200	0.17925290000857785	273	341
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED__reverse.npz	d65c4d3e92550112e8bc27632929e8d49d58e022635be0fd6ce781b3d61e1027	uot	True	80	0.07186079997336492	273	341
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED__reverse.npz	d65c4d3e92550112e8bc27632929e8d49d58e022635be0fd6ce781b3d61e1027	row_softmax	True	1	0.0009759999811649323	273	341
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED.npz	84c02c22c26ca42f10dd221a1b81c3b52b48439171e917c8d2026bdf06a70f23	balanced_ot	True	200	0.11848000000463799	269	215
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED.npz	84c02c22c26ca42f10dd221a1b81c3b52b48439171e917c8d2026bdf06a70f23	uot	True	80	0.048937999992631376	269	215
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED.npz	84c02c22c26ca42f10dd221a1b81c3b52b48439171e917c8d2026bdf06a70f23	row_softmax	True	1	0.0005617000279016793	269	215
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED__reverse.npz	ac560bd281489ac47ebb8707baa0a44960de49c497b022b05d32dc09376030df	balanced_ot	True	200	0.1192289000027813	215	269
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED__reverse.npz	ac560bd281489ac47ebb8707baa0a44960de49c497b022b05d32dc09376030df	uot	True	80	0.05301029997644946	215	269
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED__reverse.npz	ac560bd281489ac47ebb8707baa0a44960de49c497b022b05d32dc09376030df	row_softmax	True	1	0.0005471999756991863	215	269
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED.npz	c00de831f9092f2c89050268365b8810e27351013b8fbf5f8335cf35fa4822bf	balanced_ot	True	200	0.051846800022758543	167	134
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED.npz	c00de831f9092f2c89050268365b8810e27351013b8fbf5f8335cf35fa4822bf	uot	True	80	0.022082699986640364	167	134
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED.npz	c00de831f9092f2c89050268365b8810e27351013b8fbf5f8335cf35fa4822bf	row_softmax	True	1	0.0002769000129774213	167	134
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED__reverse.npz	a3934d89adcd2ea794c57115d7842d15714039ebee50de185742ec92aecd9c25	balanced_ot	True	200	0.05314490001183003	134	167
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED__reverse.npz	a3934d89adcd2ea794c57115d7842d15714039ebee50de185742ec92aecd9c25	uot	True	80	0.02903659996809438	134	167
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED__reverse.npz	a3934d89adcd2ea794c57115d7842d15714039ebee50de185742ec92aecd9c25	row_softmax	True	1	0.00024369999300688505	134	167
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED.npz	15f9fdb20731869413341f8185fecffb51c2306d1ecc76e7d4f3e08d4c743ab1	balanced_ot	True	200	0.10607680003158748	255	204
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED.npz	15f9fdb20731869413341f8185fecffb51c2306d1ecc76e7d4f3e08d4c743ab1	uot	True	80	0.04773710004519671	255	204
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED.npz	15f9fdb20731869413341f8185fecffb51c2306d1ecc76e7d4f3e08d4c743ab1	row_softmax	True	1	0.000520200002938509	255	204
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED__reverse.npz	da9ea4c68c0f946e000a5828d83f2ae6a754e77317c5292d1feb1ec8b101e2d6	balanced_ot	True	200	0.10493530001258478	204	255
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED__reverse.npz	da9ea4c68c0f946e000a5828d83f2ae6a754e77317c5292d1feb1ec8b101e2d6	uot	True	80	0.0467757000005804	204	255
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED__reverse.npz	da9ea4c68c0f946e000a5828d83f2ae6a754e77317c5292d1feb1ec8b101e2d6	row_softmax	True	1	0.0008014999912120402	204	255
