dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon0	tau0	channel	regularization_regime	metric	baseline	delta_removal	delta_compensation	delta_joint	delta_interaction
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	fixed	endpoint_response_median	0.0	0.017592957625538596	0.1991275134919303	0.19588715448908461	-0.02083331662838428
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	fixed	endpoint_response_q90	0.0	0.02628667235679385	0.2244372664305618	0.2229634126165076	-0.027760526170848066
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	fixed	endpoint_response_mean	0.0	0.019017784370213092	0.1976595680501882	0.19520873519155846	-0.02146861722884283
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	fixed	h001_response_median	0.0	0.017803992626914622	0.27049468913569297	0.2672608275698422	-0.02103785419276538
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	fixed	h001_response_q90	0.0	0.02715305335964821	0.31869271063317534	0.31641999393846276	-0.02942577005436081
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	fixed	h001_response_mean	0.0	0.019527433644677943	0.2709927008198719	0.26718182764799037	-0.02333830681655949
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		spatial	fixed	endpoint_response_median	0.0	0.45144345247784057	0.018152298505333	0.4505247076086408	-0.019071043374532793
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		spatial	fixed	endpoint_response_q90	0.0	0.5849579087869573	0.027953764813599038	0.5771311697764202	-0.03578050382413614
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		spatial	fixed	endpoint_response_mean	0.0	0.45077628705862116	0.02037386007073505	0.44742152269832636	-0.023728624431029854
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		spatial	fixed	h001_response_median	0.0	0.2726481055519063	0.017807835789617497	0.2688689052680175	-0.02158703607350628
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		spatial	fixed	h001_response_q90	0.0	0.3217197174707346	0.027182783779603023	0.31885130620121327	-0.030051195049124332
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		spatial	fixed	h001_response_mean	0.0	0.27311528725901146	0.019540742521294042	0.2692760328159535	-0.02337999696435198
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	coregularized	endpoint_response_median	0.0	0.19588715448908461	0.07962245248144405	0.19588715448908461	-0.07962245248144405
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	coregularized	endpoint_response_q90	0.0	0.2229634126165076	0.09255513202065968	0.2229634126165076	-0.09255513202065968
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	coregularized	endpoint_response_mean	0.0	0.19520873519155846	0.07924771089312864	0.19520873519155846	-0.07924771089312864
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	coregularized	h001_response_median	0.0	0.1345903889596409	0.133254057561509	0.2672608275698422	-0.0005836189513076795
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	coregularized	h001_response_q90	0.0	0.15930864979123993	0.1577265113940319	0.31641999393846276	-0.000615167246809073
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		expression	coregularized	h001_response_mean	0.0	0.1345221519994147	0.13318621601807945	0.26718182764799037	-0.0005265403695037807
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		spatial	coregularized	endpoint_response_median	0.0	0.4505247076086408	0.10195494522784389	0.4505247076086408	-0.10195494522784389
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		spatial	coregularized	endpoint_response_q90	0.0	0.5771311697764202	0.1240130629342263	0.5771311697764202	-0.1240130629342263
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		spatial	coregularized	endpoint_response_mean	0.0	0.44742152269832636	0.10305406655320846	0.44742152269832636	-0.10305406655320846
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		spatial	coregularized	h001_response_median	0.0	0.13495606192403622	0.13361168150277816	0.2688689052680175	0.0003011618412031014
