dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	method	epsilon0	tau0	channel	regularization_regime	metric	baseline	delta_removal	delta_compensation	delta_joint	delta_interaction
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	coregularized	endpoint_response_mean	0.0	0.1952087351915585	0.07924771089312864	0.1952087351915585	-0.07924771089312864
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	coregularized	endpoint_response_median	0.0	0.19600044865995858	0.07940422404436666	0.19600044865995858	-0.07940422404436666
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	coregularized	endpoint_response_q90	0.0	0.2242354588382336	0.09294202952707653	0.2242354588382336	-0.09294202952707653
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	coregularized	h001_response_mean	0.0	0.1345221519994157	0.13318621601807945	0.2671818276479907	-0.0005265403695044191
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	coregularized	h001_response_median	0.0	0.13408934761018015	0.1327575389682464	0.2663556725224163	-0.0004912140560102418
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	coregularized	h001_response_q90	0.0	0.15954925142948115	0.1579648039219786	0.31688181368239593	-0.00063224166906381
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	fixed	endpoint_response_mean	0.0	0.0190177843702131	0.1976595680501882	0.1952087351915585	-0.021468617228842787
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	fixed	endpoint_response_median	0.0	0.01772292683546179	0.19904121025964194	0.19600044865995858	-0.020763688435145117
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	fixed	endpoint_response_q90	0.0	0.02537267068050559	0.22571773558213004	0.2242354588382336	-0.02685494742440206
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	fixed	h001_response_mean	0.0	0.019527433644678897	0.27099270081987226	0.2671818276479907	-0.02333830681656042
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	fixed	h001_response_median	0.0	0.017947703220280192	0.2705190257922335	0.2663556725224163	-0.022111056490097397
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		expression	fixed	h001_response_q90	0.0	0.026279476158974524	0.31911567586734413	0.31688181368239593	-0.02851333834392275
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	coregularized	endpoint_response_mean	0.0	0.4474215226983263	0.10305406655320845	0.4474215226983263	-0.10305406655320845
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	coregularized	endpoint_response_median	0.0	0.4524378554563332	0.10183520428762691	0.4524378554563332	-0.10183520428762691
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	coregularized	endpoint_response_q90	0.0	0.5772515034327896	0.12415979358323515	0.5772515034327896	-0.12415979358323515
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	coregularized	h001_response_mean	0.0	0.13505104621000785	0.13370463798257654	0.26927603281595325	0.0005203486233688742
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	coregularized	h001_response_median	0.0	0.13457529698950338	0.13323367119660356	0.26831905424047464	0.0005100860543676977
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	coregularized	h001_response_q90	0.0	0.16018047099991278	0.15858352447613644	0.31938259459837004	0.0006185991223208176
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	fixed	endpoint_response_mean	0.0	0.45077628705862105	0.02037386007073505	0.4474215226983263	-0.023728624431029827
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	fixed	endpoint_response_median	0.0	0.4544018844819916	0.01836059208460909	0.4524378554563332	-0.020324621110267487
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	fixed	endpoint_response_q90	0.0	0.5847474358684038	0.026987537050000652	0.5772515034327896	-0.034483469485614905
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	fixed	h001_response_mean	0.0	0.27311528725901224	0.019540742521294098	0.26927603281595325	-0.023379996964353063
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	fixed	h001_response_median	0.0	0.2726517473594884	0.017954839229688897	0.26831905424047464	-0.022287532348702694
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		spatial	fixed	h001_response_q90	0.0	0.32201055730883166	0.026304863427780246	0.31938259459837004	-0.028932826138241864
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	row_softmax	0.25		expression	coregularized	endpoint_response_mean	0.0	0.20352860504321182	0.0821479394946831	0.20352860504321182	-0.0821479394946831
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	row_softmax	0.25		expression	coregularized	endpoint_response_median	0.0	0.19950691646127433	0.0811712804024086	0.19950691646127433	-0.0811712804024086
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	row_softmax	0.25		expression	coregularized	endpoint_response_q90	0.0	0.23730129414742435	0.09760728830458663	0.23730129414742435	-0.09760728830458663
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	row_softmax	0.25		expression	coregularized	h001_response_mean	0.0	0.1389534578321916	0.13757343233374486	0.2759993022643511	-0.0005275879015853163
