independent_unit_id	cohort_role	method	epsilon0	tau0	contrast_type	regularization_regime	u	v	alpha	beta	metric	reference_value	comparison_value	contrast
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.0	0.5	0.0	endpoint_response_mean	0.45077628705862105	0.4474215226983263	-0.0033547643602947763
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.0	0.5	0.0	endpoint_response_median	0.4544018844819916	0.4524378554563332	-0.001964029025658398
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.0	0.5	0.0	endpoint_response_q90	0.5847474358684038	0.5772515034327896	-0.00749593243561425
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.0	0.5	0.0	h001_response_mean	0.27311528725901224	0.13505104621000785	-0.1380642410490044
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.0	0.5	0.0	h001_response_median	0.2726517473594884	0.13457529698950338	-0.13807645036998506
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.0	0.5	0.0	h001_response_q90	0.32201055730883166	0.16018047099991278	-0.16183008630891887
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.25	0.375	0.125	endpoint_response_mean	0.29489673461551796	0.16784787161664327	-0.1270488629988747
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.25	0.375	0.125	endpoint_response_median	0.29849304015021966	0.16550430432657343	-0.13298873582364623
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.25	0.375	0.125	endpoint_response_q90	0.35092684915114	0.20205325024944196	-0.14887359890169802
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.25	0.375	0.125	h001_response_mean	0.2058348534718527	0.06745918912640095	-0.1383756643454518
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.25	0.375	0.125	h001_response_median	0.20562814164094498	0.06722251531248359	-0.1384056263284614
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.25	0.375	0.125	h001_response_q90	0.24163632948091768	0.08001129745248622	-0.16162503202843143
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.5	0.25	0.25	endpoint_response_mean	0.17262772438775686	0.0	-0.17262772438775686
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.5	0.25	0.25	endpoint_response_median	0.17174627394394132	0.0	-0.17174627394394132
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.5	0.25	0.25	endpoint_response_q90	0.2057828372115551	0.0	-0.2057828372115551
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.5	0.25	0.25	h001_response_mean	0.13887530688797395	5.908708343630665e-14	-0.13887530688791486
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.5	0.25	0.25	h001_response_median	0.1389644665756433	5.209114767693059e-14	-0.1389644665755912
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.5	0.25	0.25	h001_response_q90	0.16193475888061173	8.707423148060148e-14	-0.16193475888052467
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.75	0.125	0.375	endpoint_response_mean	0.07991164887473359	0.11260302047936961	0.03269137160463602
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.75	0.125	0.375	endpoint_response_median	0.07991520829663361	0.11328416745314254	0.033368959156508934
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.75	0.125	0.375	endpoint_response_q90	0.09366216222885157	0.13168480268797012	0.03802264045911855
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.75	0.125	0.375	h001_response_mean	0.07274784838525716	0.06732696217503278	-0.005420886210224386
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.75	0.125	0.375	h001_response_median	0.07288455603579555	0.06710237638350025	-0.005782179652295286
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	0.75	0.125	0.375	h001_response_q90	0.08433305234122825	0.07985349186641712	-0.004479560474811128
