dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	stage	arm	intervention	h	converged	iterations	seconds	last_log_scaling_error	row_mass_l1	col_mass_l1	transported_mass
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		base	BASE	NONE	0.0	True	200	8.400608299998567	0.0	5.89914402049363e-16	1.2416283279303997e-15	0.9999999999999993
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.02	True	200	8.688734099996509	1.7763568394002505e-15	9.783840404509192e-16	1.4287616229013977e-15	0.9999999999999997
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.01	True	200	9.131602100009331	3.552713678800501e-15	9.72637768936746e-16	1.3848514349157348e-15	1.0
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.005	True	200	8.675278099995921	3.552713678800501e-15	5.895891413976173e-16	1.251928248569012e-15	0.9999999999999999
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.0025	True	200	8.734562799989362	1.7763568394002505e-15	5.789639601072594e-16	1.2576745200831851e-15	1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.00125	True	200	8.516077599997516	0.0	5.967448757360216e-16	1.2713354674565025e-15	0.9999999999999997
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.000625	True	200	8.347141599995666	3.552713678800501e-15	5.89914402049363e-16	1.2181011407874642e-15	0.9999999999999997
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_SPATIAL	0.02	True	200	8.579358600007254	0.0	5.953354129117905e-16	1.2364241575024693e-15	1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_SPATIAL	0.01	True	200	8.658396799990442	1.7763568394002505e-15	9.421716878899034e-16	1.3892966638229254e-15	0.9999999999999999
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_SPATIAL	0.005	True	200	8.757244199994602	3.552713678800501e-15	9.706862050262721e-16	1.3699978651526834e-15	1.0000000000000004
