dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	stage	arm	intervention	h	converged	iterations	seconds	last_log_scaling_error	row_mass_l1	col_mass_l1	transported_mass
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	base	BASE	NONE	0.0	True	85	3.4987947000045097	3.2005438299620437e-09	0.935912630242953	0.9359126302429529	1.9359126302429532
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_EXPR	0.02	True	85	3.6107503000093857	3.211487076271169e-09	0.9404168428447739	0.9404168428447739	1.9404168428447737
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_EXPR	0.01	True	85	3.758048500007135	3.2060141208489767e-09	0.9381633200275571	0.9381633200275571	1.938163320027557
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_EXPR	0.005	True	85	3.6997023000003537	3.2032785313163004e-09	0.9370376212444196	0.9370376212444196	1.9370376212444214
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_EXPR	0.0025	True	85	3.7009469000040554	3.201911624728382e-09	0.9364750373007393	0.9364750373007392	1.9364750373007389
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_EXPR	0.00125	True	85	3.6720452000008663	3.2012277273452128e-09	0.9361938116648284	0.9361938116648284	1.936193811664829
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_EXPR	0.000625	True	85	3.9838383000023896	3.2008857786536282e-09	0.9360532154276011	0.9360532154276011	1.9360532154275998
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.02	True	85	3.7854358999902615	3.2049598530647927e-09	0.9377116434891162	0.9377116434891161	1.9377116434891164
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.01	True	85	3.6407465999946	3.202742959729221e-09	0.9368083523440249	0.9368083523440249	1.9368083523440252
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.005	True	85	3.6683895000023767	3.201641618488793e-09	0.9363595530553271	0.936359553055327	1.936359553055327
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.0025	True	85	3.6341650999966078	3.2010918360469987e-09	0.9361358580659823	0.9361358580659823	1.9361358580659815
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.00125	True	85	3.5878725000075065	3.2008173889153113e-09	0.9360241858800977	0.9360241858800977	1.936024185880099
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.000625	True	85	3.576740200005588	3.2006806094386775e-09	0.9359683935080712	0.9359683935080712	1.9359683935080718
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_EXPR	0.02	True	85	3.5760543000069447	3.2071403310851565e-09	0.9386437477729764	0.9386437477729765	1.938643747772976
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_EXPR	0.01	True	85	3.561276500011445	3.2038318664717735e-09	0.9372740733774367	0.9372740733774367	1.9372740733774374
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_EXPR	0.005	True	85	3.5355405999871437	3.202186071860069e-09	0.9365923168249353	0.9365923168249353	1.9365923168249348
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_EXPR	0.0025	True	85	3.5856362000049558	3.2013645068218466e-09	0.9362522140198066	0.9362522140198066	1.936252214019806
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_EXPR	0.00125	True	85	3.5133963999978732	3.2009532802135254e-09	0.9360823571563548	0.9360823571563548	1.9360823571563537
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_EXPR	0.000625	True	85	3.762660699998378	3.2007481109985747e-09	0.935997477443804	0.9359974774438042	1.9359974774438038
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_SPATIAL	0.02	True	85	3.615488399998867	3.1940254885398645e-09	0.9332148327382973	0.9332148327382972	1.9332148327382976
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_SPATIAL	0.01	True	85	3.6627259999950184	3.1972744451991275e-09	0.9345595165085298	0.9345595165085299	1.9345595165085296
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_SPATIAL	0.005	True	85	3.7296189999906346	3.1989060289561166e-09	0.9352350259730968	0.9352350259730968	1.9352350259730966
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_SPATIAL	0.0025	True	85	3.7139848000078928	3.1997240412806605e-09	0.9355735670417629	0.9355735670417629	1.9355735670417629
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_SPATIAL	0.00125	True	85	3.6140845000045374	3.200134379710562e-09	0.935743033473319	0.935743033473319	1.935743033473319
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_step	N	I_SPATIAL	0.000625	True	85	3.5995825999998488	3.200338660747093e-09	0.9358278155780344	0.9358278155780344	1.9358278155780335
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		base	BASE	NONE	0.0	True	1	0.039781900006346405				0.9999999999999992
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_EXPR	0.02	True	1	0.037902500000200234				0.9999999999999997
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_EXPR	0.01	True	1	0.037113600003067404				1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_EXPR	0.005	True	1	0.03696009999839589				1.0
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_EXPR	0.0025	True	1	0.04331809999712277				1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_EXPR	0.00125	True	1	0.0409767999954056				0.9999999999999993
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_EXPR	0.000625	True	1	0.045368799997959286				1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_SPATIAL	0.02	True	1	0.04144030000315979				0.9999999999999999
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_SPATIAL	0.01	True	1	0.03813730001274962				0.9999999999999992
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_SPATIAL	0.005	True	1	0.04722530000435654				1.0000000000000007
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_SPATIAL	0.0025	True	1	0.04620579999755137				1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_SPATIAL	0.00125	True	1	0.038521599999512546				0.9999999999999997
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	R	I_SPATIAL	0.000625	True	1	0.03889970001182519				1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_EXPR	0.02	True	1	0.04146520000358578				1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_EXPR	0.01	True	1	0.03866520000156015				1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_EXPR	0.005	True	1	0.03907169999729376				1.0000000000000009
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_EXPR	0.0025	True	1	0.03863989999808837				0.9999999999999997
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_EXPR	0.00125	True	1	0.04617139999754727				0.9999999999999996
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_EXPR	0.000625	True	1	0.03943730000173673				1.0
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_SPATIAL	0.02	True	1	0.03806049999548122				1.0000000000000004
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_SPATIAL	0.01	True	1	0.04409989999840036				1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_SPATIAL	0.005	True	1	0.041248599998652935				1.0
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_SPATIAL	0.0025	True	1	0.03825909999432042				0.9999999999999994
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_SPATIAL	0.00125	True	1	0.045170400000642985				1.0
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_SPATIAL	0.000625	True	1	0.03807710000546649				1.0000000000000007
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		base	BASE	NONE	0.0	True	200	8.400608299998567	0.0	5.89914402049363e-16	1.2416283279303997e-15	0.9999999999999993
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.02	True	200	8.688734099996509	1.7763568394002505e-15	9.783840404509192e-16	1.4287616229013977e-15	0.9999999999999997
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.01	True	200	9.131602100009331	3.552713678800501e-15	9.72637768936746e-16	1.3848514349157348e-15	1.0
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.005	True	200	8.675278099995921	3.552713678800501e-15	5.895891413976173e-16	1.251928248569012e-15	0.9999999999999999
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.0025	True	200	8.734562799989362	1.7763568394002505e-15	5.789639601072594e-16	1.2576745200831851e-15	1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.00125	True	200	8.516077599997516	0.0	5.967448757360216e-16	1.2713354674565025e-15	0.9999999999999997
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_EXPR	0.000625	True	200	8.347141599995666	3.552713678800501e-15	5.89914402049363e-16	1.2181011407874642e-15	0.9999999999999997
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_SPATIAL	0.02	True	200	8.579358600007254	0.0	5.953354129117905e-16	1.2364241575024693e-15	1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_SPATIAL	0.01	True	200	8.658396799990442	1.7763568394002505e-15	9.421716878899034e-16	1.3892966638229254e-15	0.9999999999999999
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_SPATIAL	0.005	True	200	8.757244199994602	3.552713678800501e-15	9.706862050262721e-16	1.3699978651526834e-15	1.0000000000000004
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_SPATIAL	0.0025	True	200	8.435503600005177	1.7763568394002505e-15	9.764324765404453e-16	1.40989650510015e-15	1.0
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_SPATIAL	0.00125	True	200	7.338742399995681	1.7763568394002505e-15	5.87745997704392e-16	1.2542050731312315e-15	0.9999999999999997
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	R	I_SPATIAL	0.000625	True	200	7.185631700005615	0.0	9.98441780641901e-16	1.4155343563970746e-15	1.0000000000000009
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	N	I_EXPR	0.02	True	200	7.113409799989313	1.7763568394002505e-15	9.865155567445605e-16	1.4141248935728434e-15	1.0000000000000002
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	N	I_EXPR	0.01	True	200	7.356725600009668	1.7763568394002505e-15	9.570252576529548e-16	1.412281749879618e-15	0.9999999999999996
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	N	I_EXPR	0.005	True	200	7.194400499996846	1.7763568394002505e-15	9.483516402730707e-16	1.3595895242968226e-15	0.9999999999999994
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		finite_step	N	I_EXPR	0.0025	True	200	6.998169700003928	1.7763568394002505e-15	6.062858548538941e-16	1.3102583254487321e-15	0.9999999999999998
