dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	arm	intervention	h_large	h_small	relative_l1_n_estimable	relative_l1_median	relative_l1_q90	relative_l1_mean	relative_l1_maximum
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_EXPR	0.02	0.01	1500	0.0007394575769852213	0.0009347170355287008	0.0007586253777447672	0.0012792337663961525
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_EXPR	0.01	0.005	1500	0.0003695848904193404	0.0004671671117268055	0.00037919399867489555	0.0006395246057411706
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_EXPR	0.005	0.0025	1500	0.00018475647168090425	0.00023353566291884972	0.0001895673293033761	0.00031973905214372855
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_EXPR	0.0025	0.00125	1500	9.236924185707188e-05	0.00011675586019165334	9.477624752882598e-05	0.00015986369070234658
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_EXPR	0.00125	0.000625	1500	4.618237337255909e-05	5.837493747511013e-05	4.738626931055724e-05	7.993038334621082e-05
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_SPATIAL	0.02	0.01	1500	0.006550858248692529	0.007640328074206186	0.006356956583444745	0.008395803703607364
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_SPATIAL	0.01	0.005	1500	0.00325379913440598	0.003790020224420471	0.0031592811086919984	0.0041643307993319495
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_SPATIAL	0.005	0.0025	1500	0.001621895327911104	0.0018881585503955434	0.001574877259151009	0.002073868059978723
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_SPATIAL	0.0025	0.00125	1500	0.000809838618627114	0.0009423259222656724	0.0007862522613096161	0.0010348679573464793
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_SPATIAL	0.00125	0.000625	1500	0.0004046424651352108	0.0004707027271014342	0.0003928300705133415	0.0005169184912105294
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_EXPR	0.02	0.01	1500	0.005260146997342242	0.006213940320858651	0.005217939932102018	0.0071533650478303335
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_EXPR	0.01	0.005	1500	0.0026450379158346714	0.0031306355028494085	0.0026251883334265217	0.0036084991815296882
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_EXPR	0.005	0.0025	1500	0.001326694737146681	0.0015712260670770728	0.0013166797634556826	0.0018122590708993121
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_EXPR	0.0025	0.00125	1500	0.0006645221080649383	0.000787088814517204	0.0006593651563151762	0.0009081410914802253
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_EXPR	0.00125	0.000625	1500	0.00033249490481882454	0.00039391391732462313	0.00032993940561511437	0.0004545763366341812
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	0.02	0.01	1500	0.005395203268140964	0.006406387616580403	0.005349686954154675	0.007412717544342257
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	0.01	0.005	1500	0.0026798286168966175	0.0031766124603625984	0.002658124793974026	0.003673293831039145
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	0.005	0.0025	1500	0.001335485696891585	0.0015823426918917449	0.0013249139203102918	0.0018284652189621577
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	0.0025	0.00125	1500	0.000666617897603769	0.0007898161555591553	0.0006614237547785702	0.0009121953658278635
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	0.00125	0.000625	1500	0.00033302818257492704	0.00039458813216523744	0.00033045406222947796	0.0004555902549569693
