dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9999434321230858	1.0	0.003886001378813418	0.005686976190375881	0.9999928211667402	0.01027601727275298	0.012796957076790079
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9999398349389985	1.0	0.003921666969812068	0.005755826770528499	0.9999927190537121	0.010527197207750541	0.013160960240527694
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999952506984241	1.0	0.00034867199352481314	0.0005012593900633733	0.9999996906408555	0.000547416417988028	0.0011544013455759847
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9999472657733341	1.0	0.0039182937343370215	0.005741370810978443	0.9999929910131737	0.01050996718275847	0.01308655823954202
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999646948608554	1.0	0.0037668379018972052	0.005696103554265293	0.9999922552691438	0.009749488008120363	0.012076080063912049
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999646948608554	1.0	0.00379934430176662	0.005749911807242023	0.9999921435591947	0.009987327249332585	0.0123096858761266
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999882393609872	1.0	0.00021098748052413886	0.0007839807172776009	0.9999994122137583	0.0005111830160433224	0.0008950062098118394
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999695138287505	0.9857142857142858	0.003837458838107804	0.005732108527263836	0.9999929122895053	0.010128732626618592	0.012179238197495376
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9999496129569188	1.0	0.0032435103065831675	0.004754310624960564	0.999994200817443	0.00860448403996247	0.010829276805267646
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9999487789577097	0.9821428571428572	0.0032736732655052787	0.004805307974220743	0.999994105707186	0.008875756469795663	0.011122208111609296
