dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	branch	witness	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	1500	-0.02248040465795763	0.38749118544621447	0.36323527362199876	0.3896476265135095	0.9183548290395545	0.38682496370211816	0.38591956571654634
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	1500	-0.022491320218364544	0.387492284964634	0.36323527362199876	0.3896476265135095	0.91839645798583	0.38682496370211816	0.38591956571654634
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	1500	-0.021795074575588703	0.38746047380068677	0.36323527362199876	0.3896476265135095	0.9171920532106136	0.38672346046079814	0.38620858763481025
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	source_boundary_proximity	1500	-0.08196668101906388	0.3867973318793581	0.36323527362199876	0.3896476265135095	0.892084789043255	0.38406765205497784	0.38618448445452797
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	1500	-0.06567974474655322	0.3946532874136463	0.3662461150692584	0.3921805817401216	1.0953443810858363	0.3938914643680958	0.39309246556104227
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	local_reference	1500	-0.06572894654619847	0.39465502780906425	0.3662461150692584	0.3921805817401216	1.09541148851627	0.3938914643680958	0.39309246556104227
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	endpoint_response	1500	-0.05886060571582477	0.39464509222686095	0.3662461150692584	0.3921805817401216	1.0950283851222655	0.39401939733218116	0.39327091043222506
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	1500	-0.0680219186469974	0.388807176681956	0.3662461150692584	0.3921805817401216	0.8699257979360907	0.3862610680632451	0.38850940826261354
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	1500	-0.13070883320392587	0.39099635970844393	0.36287457259180317	0.3893549378152952	1.061986376671745	0.3902958477121447	0.38987271946275337
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	1500	-0.13068620919387075	0.3909944690041942	0.36287457259180317	0.3893549378152952	1.061914976438638	0.3902958477121447	0.38987271946275337
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	1500	-0.1354773971010654	0.39125896178553915	0.36287457259180317	0.3893549378152952	1.0719032367633217	0.3908992994428032	0.39006206118288705
