dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	stage	converged	iterations	seconds	t
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	baseline	True	85	3.5966865999944275	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		baseline	True	1	0.03714249999029562	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		baseline	True	200	8.310870100001921	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	baseline	True	85	3.611581799996202	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		baseline	True	1	0.04005670000333339	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		baseline	True	200	8.420710200007306	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	uot	0.25	2.0	baseline	True	85	3.6039085000084015	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	row_softmax	0.25		baseline	True	1	0.03613779999432154	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	balanced_ot	0.25		baseline	True	200	8.36342799999693	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID__reverse	reverse	uot	0.25	2.0	baseline	True	85	3.6449599000043236	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID__reverse	reverse	row_softmax	0.25		baseline	True	1	0.03729010000824928	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID__reverse	reverse	balanced_ot	0.25		baseline	True	200	8.380885099992156	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br3942_ANT_MID	spatialDLPFC::Br3942	primary_expansion	SDLPFC_Br3942_ANT_MID	forward	uot	0.25	2.0	baseline	True	85	3.505498600003193	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br3942_ANT_MID	spatialDLPFC::Br3942	primary_expansion	SDLPFC_Br3942_ANT_MID	forward	row_softmax	0.25		baseline	True	1	0.04265880001184996	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br3942_ANT_MID	spatialDLPFC::Br3942	primary_expansion	SDLPFC_Br3942_ANT_MID	forward	balanced_ot	0.25		baseline	True	200	8.341355199998361	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br3942_ANT_MID	spatialDLPFC::Br3942	primary_expansion	SDLPFC_Br3942_ANT_MID__reverse	reverse	uot	0.25	2.0	baseline	True	85	3.570005100002163	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br3942_ANT_MID	spatialDLPFC::Br3942	primary_expansion	SDLPFC_Br3942_ANT_MID__reverse	reverse	row_softmax	0.25		baseline	True	1	0.03667950000090059	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br3942_ANT_MID	spatialDLPFC::Br3942	primary_expansion	SDLPFC_Br3942_ANT_MID__reverse	reverse	balanced_ot	0.25		baseline	True	200	8.453086199995596	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6423_ANT_MID	spatialDLPFC::Br6423	primary_expansion	SDLPFC_Br6423_ANT_MID	forward	uot	0.25	2.0	baseline	True	85	3.5782553000026383	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6423_ANT_MID	spatialDLPFC::Br6423	primary_expansion	SDLPFC_Br6423_ANT_MID	forward	row_softmax	0.25		baseline	True	1	0.03823489999922458	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6423_ANT_MID	spatialDLPFC::Br6423	primary_expansion	SDLPFC_Br6423_ANT_MID	forward	balanced_ot	0.25		baseline	True	200	8.430638199992245	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6423_ANT_MID	spatialDLPFC::Br6423	primary_expansion	SDLPFC_Br6423_ANT_MID__reverse	reverse	uot	0.25	2.0	baseline	True	85	3.5881974000076298	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6423_ANT_MID	spatialDLPFC::Br6423	primary_expansion	SDLPFC_Br6423_ANT_MID__reverse	reverse	row_softmax	0.25		baseline	True	1	0.04018270000233315	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6423_ANT_MID	spatialDLPFC::Br6423	primary_expansion	SDLPFC_Br6423_ANT_MID__reverse	reverse	balanced_ot	0.25		baseline	True	200	8.401170800003456	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6432_ANT_MID	spatialDLPFC::Br6432	primary_expansion	SDLPFC_Br6432_ANT_MID	forward	uot	0.25	2.0	baseline	True	85	3.574745299993083	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6432_ANT_MID	spatialDLPFC::Br6432	primary_expansion	SDLPFC_Br6432_ANT_MID	forward	row_softmax	0.25		baseline	True	1	0.03774610000255052	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6432_ANT_MID	spatialDLPFC::Br6432	primary_expansion	SDLPFC_Br6432_ANT_MID	forward	balanced_ot	0.25		baseline	True	200	8.355161500003305	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6432_ANT_MID	spatialDLPFC::Br6432	primary_expansion	SDLPFC_Br6432_ANT_MID__reverse	reverse	uot	0.25	2.0	baseline	True	85	3.549972799999523	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6432_ANT_MID	spatialDLPFC::Br6432	primary_expansion	SDLPFC_Br6432_ANT_MID__reverse	reverse	balanced_ot	0.25		baseline	True	200	8.302787499997066	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6432_ANT_MID	spatialDLPFC::Br6432	primary_expansion	SDLPFC_Br6432_ANT_MID__reverse	reverse	row_softmax	0.25		baseline	True	1	0.0355208999972092	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6471_ANT_MID	spatialDLPFC::Br6471	primary_expansion	SDLPFC_Br6471_ANT_MID	forward	uot	0.25	2.0	baseline	True	85	3.564519499996095	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6471_ANT_MID	spatialDLPFC::Br6471	primary_expansion	SDLPFC_Br6471_ANT_MID	forward	row_softmax	0.25		baseline	True	1	0.036029800001415424	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6471_ANT_MID	spatialDLPFC::Br6471	primary_expansion	SDLPFC_Br6471_ANT_MID	forward	balanced_ot	0.25		baseline	True	200	8.369237199993222	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6471_ANT_MID	spatialDLPFC::Br6471	primary_expansion	SDLPFC_Br6471_ANT_MID__reverse	reverse	uot	0.25	2.0	baseline	True	85	3.5884477000072366	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6471_ANT_MID	spatialDLPFC::Br6471	primary_expansion	SDLPFC_Br6471_ANT_MID__reverse	reverse	row_softmax	0.25		baseline	True	1	0.037140000000363216	
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br6471_ANT_MID	spatialDLPFC::Br6471	primary_expansion	SDLPFC_Br6471_ANT_MID__reverse	reverse	balanced_ot	0.25		baseline	True	200	8.427768699999433	
