dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	arm	intervention	mass_local_to_endpoint_n_estimable	mass_local_to_endpoint_spearman	mass_local_to_endpoint_top_overlap	mass_local_to_endpoint_raw_mae	mass_local_to_endpoint_rmae	mass_local_to_endpoint_intercept	mass_local_to_endpoint_slope	mass_local_to_endpoint_r2	shape_local_to_endpoint_n_estimable	shape_local_to_endpoint_spearman	shape_local_to_endpoint_top_overlap	shape_local_to_endpoint_raw_mae	shape_local_to_endpoint_rmae	shape_local_to_endpoint_intercept	shape_local_to_endpoint_slope	shape_local_to_endpoint_r2	local_mass_n_estimable	local_mass_median	local_mass_q90	local_mass_mean	local_mass_maximum	local_shape_n_estimable	local_shape_median	local_shape_q90	local_shape_mean	local_shape_maximum	endpoint_mass_n_estimable	endpoint_mass_median	endpoint_mass_q90	endpoint_mass_mean	endpoint_mass_maximum	endpoint_shape_n_estimable	endpoint_shape_median	endpoint_shape_q90	endpoint_shape_mean	endpoint_shape_maximum
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_EXPR	1500	0.999972323543255	1.0	0.00010657283363236614	0.0018210597436895783	0.0003499679955460092	0.9941376007481237	0.9999173775189674	1500	0.9980658444737087	0.9466666666666667	0.00048178494604980595	0.013450339918159396	-0.00016962650793699987	1.0080574050205067	0.9961384225980384	1500	0.0574623964539598	0.07777748690787478	0.058515498969628536	0.10679076302708504	1500	0.0327755741248193	0.05028396655632934	0.035701501875646406	0.08803534691373863	1500	0.05741781688206757	0.07776856558360722	0.05852242574779181	0.10645854058830721	1500	0.03287007228882782	0.05063889869194467	0.03581953682816185	0.08935717506308807
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_SPATIAL	1500	0.42025667744741224	0.6933333333333334	0.018918029565803983	0.45169809320910637	0.016709776275495847	1.089653078477463	0.3377387919369641	1500	0.5496214353873047	0.4666666666666667	0.17922438234963325	0.3881348887837062	-0.21795016182798876	2.3835170073469816	0.2862834337709844	1500	0.023473612970211118	0.03380246433667141	0.02310115615509734	0.04868997505941427	1500	0.2824902739536275	0.3192592384387068	0.285170250552736	0.3494975294913706	1500	0.0382633652665324	0.06460180018522126	0.041882022196286284	0.09359034469808494	1500	0.4778043220183273	0.5909017153960183	0.4617579803538574	0.6891227495956946
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_EXPR	1500	0.995413516183785	0.94	0.006024005083611385	0.14512964966808523	0.006642004512024976	0.9797674451507946	0.9866188718482268	1500	0.7164305619691388	0.4533333333333333	0.08091167821815674	0.3883767117272316	0.05732646296080908	0.5220719324134798	0.5276833730351186	1500	0.03368692259838543	0.06123631435055531	0.035585734909091095	0.0944466432597495	1500	0.2868564688226602	0.32726950431576246	0.289244659509227	0.37068964627711876	1500	0.03972494145843236	0.06653958580790571	0.0415077490877186	0.10011448668145156	1500	0.20900466685127098	0.2345973034865626	0.2083329812910703	0.2607011021366118
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	1500	0.5842104356490826	0.4533333333333333	0.016226675839153958	0.7345780338046132	0.006468431615597252	0.43897815337246643	0.35212210493550633	1500	0.5188378945946198	0.4066666666666667	0.17788647060230459	0.38313765380274745	-0.11856185836593923	2.015077915364035	0.2683071133894116	1500	0.033686922596467404	0.06123631435956648	0.03558573491670024	0.09444664327925775	1500	0.2868564688878034	0.327269504242533	0.28924465948847605	0.3706896463373668	1500	0.021432602394363894	0.04009490385882938	0.02208979181573242	0.07040426375783446	1500	0.4775916843895167	0.5944389536015682	0.46428866710627903	0.7192310766944674
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	R	I_EXPR	1500	0.9998772479454435	0.9933333333333333	0.0001089332579541579	0.0018656020853561404	0.00025406179052459135	0.9974079708668953	0.999873101767857	1500	0.9986588722928321	0.98	0.00032787438945708754	0.008814952858919731	0.0003157221970815887	0.9932296533537346	0.9979606827312645	1500	0.0553333907073546	0.07333132280595543	0.058287424099821676	0.09096363512562577	1500	0.0347394927663295	0.04937127491673265	0.03713091859622072	0.07843317021015644	1500	0.05536465709506737	0.07336440796925117	0.05839040318898588	0.09118560143370341	1500	0.034929227223959906	0.049324671869270295	0.03719525160311162	0.07938242517822262
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	R	I_SPATIAL	1500	0.3992348405488181	0.6866666666666666	0.018827162716474468	0.4500952042364252	0.01435808078920605	1.1863893346713448	0.3491570171090882	1500	0.5951101524934012	0.3466666666666667	0.1790767088249018	0.3883989788337596	-0.41734188978432735	3.082725916005961	0.3234106883603839	1500	0.023235850075463367	0.03293487165566165	0.023155306749214493	0.047359237119162956	1500	0.2831368171297505	0.31186256775368343	0.28494446571536103	0.3454736172129652	1500	0.03812992020063381	0.06405291925444097	0.04182928975751755	0.09139169265635001	1500	0.47704793811915097	0.5846153215243741	0.46106379929888847	0.6868300095488109
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	N	I_EXPR	1500	0.9938389874839945	0.96	0.006228458364960498	0.15058925952178082	0.007714262290696421	0.9577081010939218	0.986608371967058	1500	0.618285032126681	0.5066666666666667	0.08069376165317267	0.38697737499429236	0.05853506472416813	0.518600761783287	0.45914127251193904	1500	0.03473600544474491	0.052355692929723766	0.03513211665041522	0.07161611681823257	1500	0.2877932795212315	0.31902679617848406	0.28921696447443024	0.3586070488731956	1500	0.040084960649566556	0.058522455370902955	0.04136057501537572	0.07768528096090657	1500	0.2080782026232836	0.23056330429519606	0.20852320282125758	0.26892159032299356
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	N	I_SPATIAL	1500	0.5715653846957266	0.44	0.015277639519695166	0.7282750083534802	0.0013274368407811285	0.55932887157636	0.33496713558259983	1500	0.6141459476204212	0.36	0.17703269058638077	0.3821808750580085	-0.314963060464585	2.690644699272297	0.3347708043474009	1500	0.034736005444584175	0.052355692937528696	0.03513211665829796	0.07161611682322065	1500	0.28779327957753814	0.31902679603319734	0.2892169644535023	0.35860704888432404	1500	0.02086771101942167	0.03787381607570629	0.02097784400735596	0.05790680857014745	1500	0.47967161993125096	0.5868433561118522	0.463217031881855	0.6895131085032524
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	uot	0.25	2.0	R	I_EXPR	1500	0.9999425599744711	0.9933333333333333	0.0009670629689868333	0.01476792422879844	-0.0003884043277982423	0.991718202893473	0.9999520654756335	1500	0.9872263303228137	0.7866666666666666	0.0027587394182231	0.05025533104605669	0.003664360080605762	0.9476069729884407	0.9642476452789648	1500	0.050090658525641985	0.14570148865722019	0.06642251695159095	0.20798025829693248	1500	0.04878353004863525	0.0797845333669864	0.054062606682087525	0.14369486043225121	1500	0.04924632539067334	0.14389559233439747	0.06548401481509472	0.2048022185167584	1500	0.05013666791841312	0.08016986557563352	0.05489446315048334	0.13266657075083826
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	uot	0.25	2.0	R	I_SPATIAL	1500	0.31833876903945296	0.6266666666666667	0.01917939338598195	0.45874410457832304	0.01992368793481489	0.9621520284522431	0.23371300209785273	1500	0.7184585308704582	0.47333333333333333	0.1777761697009674	0.3846058652887736	-0.4386356557037951	3.1410548184005584	0.47301210509593217	1500	0.023229496077975968	0.031039868286959614	0.0227456687580506	0.04936954981448795	1500	0.2852556225995943	0.3166761847410176	0.2868033795347404	0.36743259377365856	1500	0.03971461814859226	0.06156819970486383	0.041808479268876104	0.09541998560010599	1500	0.47542235520953247	0.5921091893684585	0.46222948151736515	0.7206118375356982
