dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	variant	arm	intervention	score	spatial_cost_pearson_vs_baseline	spatial_cost_scale_ratio	local_fidelity_n_estimable	local_fidelity_spearman	local_fidelity_top_overlap	local_fidelity_raw_mae	local_fidelity_rmae	local_fidelity_intercept	local_fidelity_slope	local_fidelity_r2	endpoint_transfer_n_estimable	endpoint_transfer_spearman	endpoint_transfer_top_overlap	endpoint_transfer_raw_mae	endpoint_transfer_rmae	endpoint_transfer_intercept	endpoint_transfer_slope	endpoint_transfer_r2	heldout_aurc	heldout_oracle_aurc	heldout_random_aurc	heldout_normalized_excess_aurc	heldout_retained_loss_at_80pct_coverage	heldout_retained_loss_at_90pct_coverage
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		baseline	R	I_SPATIAL	finite_response_h001	1.0	1.0	1500	0.9998235163660073	0.9933333333333333	0.0012118542162264268	0.004253175173259147	0.0010946838152170355	0.9919391600478138	0.999762085978408	1500	0.4876472993987998	0.41333333333333333	0.18075536896189465	0.39116363474385896	-0.19433176454897771	2.30382879738538	0.22257723141847952	0.38725899807384906	0.36287457259180317	0.3893549378152952	0.9208492887557793	0.388590957643868	0.3883644636476293
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		baseline	R	I_SPATIAL	local_reference	1.0	1.0	1500	0.9998235163660073	0.9933333333333333	0.0012118542162264268	0.004253175173259147	0.0010946838152170355	0.9919391600478138	0.999762085978408	1500	0.4876472993987998	0.41333333333333333	0.18075536896189465	0.39116363474385896	-0.19433176454897771	2.30382879738538	0.22257723141847952	0.38719746245306225	0.36287457259180317	0.3893549378152952	0.9185254680581623	0.3886443020704485	0.388298932032292
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		baseline	R	I_SPATIAL	endpoint_response	1.0	1.0	1500	0.9998235163660073	0.9933333333333333	0.0012118542162264268	0.004253175173259147	0.0010946838152170355	0.9919391600478138	0.999762085978408	1500	0.4876472993987998	0.41333333333333333	0.18075536896189465	0.39116363474385896	-0.19433176454897771	2.30382879738538	0.22257723141847952	0.388937505256485	0.36287457259180317	0.3893549378152952	0.9842361479803218	0.3880989188356581	0.3884183354809985
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		baseline	N	I_SPATIAL	finite_response_h001	1.0	1.0	1500	0.9998701759423005	0.98	0.0012162132951866337	0.0042079792201448135	0.0010099756895642143	0.9923298792417811	0.9998158939964239	1500	0.4906977896434621	0.42	0.1793163107721279	0.385958857162568	-0.1309233980058453	2.0604512332477145	0.24009852901587514	0.38690466628700376	0.36287457259180317	0.3893549378152952	0.9074683635361018	0.38731061123774563	0.3882679085946437
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		baseline	N	I_SPATIAL	local_reference	1.0	1.0	1500	0.9998701759423005	0.98	0.0012162132951866337	0.0042079792201448135	0.0010099756895642143	0.9923298792417811	0.9998158939964239	1500	0.4906977896434621	0.42	0.1793163107721279	0.385958857162568	-0.1309233980058453	2.0604512332477145	0.24009852901587514	0.3869359191796854	0.36287457259180317	0.3893549378152952	0.9086485924497841	0.387206698304187	0.38841538859795444
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		baseline	N	I_SPATIAL	endpoint_response	1.0	1.0	1500	0.9998701759423005	0.98	0.0012162132951866337	0.0042079792201448135	0.0010099756895642143	0.9923298792417811	0.9998158939964239	1500	0.4906977896434621	0.42	0.1793163107721279	0.385958857162568	-0.1309233980058453	2.0604512332477145	0.24009852901587514	0.38805616193581083	0.36287457259180317	0.3893549378152952	0.9509532490008052	0.38746119285437436	0.3871763384502555
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	baseline	R	I_SPATIAL	finite_response_h001	1.0	1.0	1500	0.9998579128257391	0.9933333333333333	0.0012504170618285683	0.0044764293948619535	0.001272886782970752	0.9910069574729375	0.9998073672736251	1500	0.5555416655740737	0.46	0.19943748606886547	0.41829634538261584	-0.29472437488772396	2.7619648069171836	0.2960850387791216	0.38791706374714247	0.36323527362199876	0.3896476265135095	0.9344790381426699	0.3888846955475171	0.38885073358821104
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	baseline	R	I_SPATIAL	local_reference	1.0	1.0	1500	0.9998579128257391	0.9933333333333333	0.0012504170618285683	0.0044764293948619535	0.001272886782970752	0.9910069574729375	0.9998073672736251	1500	0.5555416655740737	0.46	0.19943748606886547	0.41829634538261584	-0.29472437488772396	2.7619648069171836	0.2960850387791216	0.38789102052854146	0.36323527362199876	0.3896476265135095	0.9334930139626972	0.38885373933025297	0.3887821564681833
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	baseline	R	I_SPATIAL	endpoint_response	1.0	1.0	1500	0.9998579128257391	0.9933333333333333	0.0012504170618285683	0.0044764293948619535	0.001272886782970752	0.9910069574729375	0.9998073672736251	1500	0.5555416655740737	0.46	0.19943748606886547	0.41829634538261584	-0.29472437488772396	2.7619648069171836	0.2960850387791216	0.3892138717132669	0.36323527362199876	0.3896476265135095	0.9835775781875905	0.38820325402328554	0.3885285946251165
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	baseline	N	I_SPATIAL	finite_response_h001	1.0	1.0	1500	0.999910798182577	0.9933333333333333	0.001066414838714233	0.003547748678899464	0.001196527772054423	0.9924982572586645	0.999869689883249	1500	0.6179405590846929	0.52	0.16441847902889084	0.35649773181827943	-0.2629535404516291	2.409129956713452	0.38475830551354673	0.38687825743963655	0.36323527362199876	0.3896476265135095	0.8951487175244035	0.38668255360604187	0.38845198065605246
