dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	variant
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	row_softmax	0.25		label_free_rigid
