dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	branch	witness	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	1500	-0.02248040465795763	0.38749118544621447	0.36323527362199876	0.3896476265135095	0.9183548290395545	0.38682496370211816	0.38591956571654634
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	1500	-0.022491320218364544	0.387492284964634	0.36323527362199876	0.3896476265135095	0.91839645798583	0.38682496370211816	0.38591956571654634
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	1500	-0.021795074575588703	0.38746047380068677	0.36323527362199876	0.3896476265135095	0.9171920532106136	0.38672346046079814	0.38620858763481025
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	conditional_entropy	1500	0.16009890493284665	0.3876794468707282	0.36323527362199876	0.3896476265135095	0.9254826084269877	0.38774586646286624	0.38817877781502974
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	low_max_probability	1500	0.15466421096187155	0.3876770808370912	0.36323527362199876	0.3896476265135095	0.925393027856611	0.38738003156438966	0.38823804843147
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	probability_margin_risk	1500	0.09719069208475205	0.3886462103943361	0.36323527362199876	0.3896476265135095	0.9620853120020504	0.3884482379092464	0.3894446177144072
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	assigned_raw_cost	1500	-0.03434948015532452	0.3878919360409957	0.36323527362199876	0.3896476265135095	0.933527676245834	0.3865826838847182	0.38773215704727454
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	barycentric_displacement	1500	-0.14281289191684088	0.3903060775104921	0.36323527362199876	0.3896476265135095	1.0249296607419733	0.38930892920198823	0.3889018824079716
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	transported_mass_deficit	1500	-0.10386752705223426	0.3880348205958161	0.36323527362199876	0.3896476265135095	0.9389374386932511	0.3871732210102607	0.3860458303134884
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	source_boundary_proximity	1500	-0.08196668101906388	0.3867973318793581	0.36323527362199876	0.3896476265135095	0.892084789043255	0.38406765205497784	0.38618448445452797
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	1500	-0.06567974474655322	0.3946532874136463	0.3662461150692584	0.3921805817401216	1.0953443810858363	0.3938914643680958	0.39309246556104227
