dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	branch	score	reference	amplitude_comparable	n_estimable	spearman	top_overlap	raw_mae	rmae	intercept	slope	r2
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	finite_response_h001	local_reference	True	1500	0.999999630222058	1.0	4.1495531089131794e-05	0.0006511618080482473	3.225816838149942e-05	0.998843385324721	0.9999998983677997
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	finite_response_h001	endpoint_response	True	1500	0.9996631927391968	0.9866666666666667	0.0042837172437367715	0.06294901069238451	-0.003456531966239632	1.1213835494467834	0.9989552459181279
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	local_reference	local_reference	True	1500	1.0	1.0	0.0	0.0	-1.2332511624255534e-17	1.0000000000000002	1.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	local_reference	endpoint_response	True	1500	0.9996552389578841	0.9866666666666667	0.004325212774825903	0.06355878544678388	-0.003492007900395721	1.1226704518579511	0.9989346898615901
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	endpoint_response	local_reference	True	1500	0.9996552389578841	0.9866666666666667	0.004325212774825903	0.0678726912688356	0.0031750215539204183	0.8897844315831192	0.9989346898615901
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	endpoint_response	endpoint_response	True	1500	1.0	1.0	0.0	0.0	-4.9234283587729457e-17	1.0000000000000004	1.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	conditional_entropy	local_reference	False	1500	-0.29089497017554233	0.013333333333333334	0.8495293381628647	13.33109964636763	0.17635341141804642	-0.12332598300564286	0.12406985724145214
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	conditional_entropy	endpoint_response	False	1500	-0.28780886035949355	0.013333333333333334	0.845204125388039	12.420232358727672	0.19512353940246135	-0.13914294511351868	0.1251733870993682
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	low_max_probability	local_reference	False	1500	-0.327613791828352	0.006666666666666667	0.9327218154168574	14.63658393546764	3.4861146577874793	-3.434591728525787	0.19004973106542533
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	low_max_probability	endpoint_response	False	1500	-0.3245218473430433	0.006666666666666667	0.9283966026420314	13.642741651992623	3.92306164530195	-3.868756005813323	0.19111387199626428
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	probability_margin_risk	local_reference	False	1500	-0.3341813431917081	0.05333333333333334	0.9361334089837421	14.69011980733217	21.432170247588328	-21.371462841878554	0.1407554359433253
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	probability_margin_risk	endpoint_response	False	1500	-0.3326196464976207	0.05333333333333334	0.9318081962089161	13.692874848863609	24.092114468239558	-24.027456915860917	0.14100834034691923
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	assigned_raw_cost	local_reference	False	1500	0.7764682419858855	0.6333333333333333	0.42936707241377364	6.737772281761759	0.014745765530942742	0.0993314958974218	0.5731613672924316
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	assigned_raw_cost	endpoint_response	False	1500	0.7747287532127793	0.6333333333333333	0.4250418596389477	6.245968873469192	0.013084367238740747	0.11147244651559592	0.5720981380084791
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	barycentric_displacement	local_reference	False	1500	0.08729326190811643	0.23333333333333334	0.03800456312565594	0.5963803664984892	0.06082285188864312	0.037495450778865215	0.01752728580239249
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	barycentric_displacement	endpoint_response	False	1500	0.08485488215772541	0.23333333333333334	0.03767793128520124	0.5536753161770556	0.06476042732049216	0.04250303593279783	0.017849659043330912
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	transported_mass_deficit	local_reference	False	1500	0.6055830353702379	0.5733333333333334	0.9996380062958085	15.686655273194217	0.16288525364194664	0.10594992992385452	0.4412086354724478
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	transported_mass_deficit	endpoint_response	False	1500	0.6039001617334052	0.5733333333333334	1.0039632190706342	14.753189301754386	0.17991617080230868	0.11952566763159105	0.445038438489164
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	source_boundary_proximity	local_reference	False	1500	0.26865194854128854	0.3933333333333333	0.501770980884114	7.8739587267077535	0.06912489684539698	0.012326389611012288	0.08133383223150448
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	uot	0.25	2.0	main21	source_boundary_proximity	endpoint_response	False	1500	0.26504619370691146	0.3933333333333333	0.5060961936589399	7.437058258826887	0.0741317706564092	0.013882531320159004	0.0817653477808381
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	finite_response_h001	local_reference	True	1500	0.9999989475550879	1.0	3.025331429752351e-05	0.0004391647112825853	3.2995043408783444e-06	0.9995178980030572	0.9999992168010104
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	finite_response_h001	endpoint_response	True	1500	0.9965206206758316	0.9	0.0028540005948935617	0.03981231055042672	0.000504019034502723	1.0328524120339255	0.9912275390204165
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	local_reference	local_reference	True	1500	1.0	1.0	0.0	0.0	-3.0062077377564366e-17	1.0000000000000004	1.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	local_reference	endpoint_response	True	1500	0.9964588037594684	0.9	0.0028840328878756683	0.040231250538345545	0.0005065457639419904	1.0332644199702694	0.9910630026097033
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	endpoint_response	local_reference	True	1500	0.9964588037594684	0.9	0.0028840328878756683	0.04186534599407767	0.00012979762302650665	0.9591571948622983	0.9910630026097033
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	endpoint_response	endpoint_response	True	1500	1.0	1.0	0.0	0.0	4.855207182970664e-17	0.9999999999999999	1.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	conditional_entropy	local_reference	False	1500	0.3961186187193862	0.18	0.8447910285301053	12.26319881815103	-0.23736373950644307	0.33518548124445824	0.14717365543298633
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	conditional_entropy	endpoint_response	False	1500	0.3900797253687669	0.17333333333333334	0.8419929531272125	11.745507338417932	-0.2449976322114908	0.3466030187549989	0.1460840078493395
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	low_max_probability	local_reference	False	1500	0.1315704371424165	0.08	0.9277686958104759	13.467723483968204	-2.6721048871372277	2.7501870583840065	0.011356432841631348
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	low_max_probability	endpoint_response	False	1500	0.12348215621429166	0.06666666666666667	0.9249706204075828	12.903016788285194	-2.606035270434018	2.686703291150125	0.010060862125736758
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	probability_margin_risk	local_reference	False	1500	-0.0811334867259941	0.06666666666666667	0.93101262458934	13.514813169137266	27.991967944755164	-27.925846151416984	0.013008770886019594
